lpmln2cl
Clingo executed with command:
clingo /home/apradhan/proj/fact_checking/out.txt /usr/local/share/lpmln/marginal-prob-script.py 0 --opt-mode=enum -c issoft=true --warn=no-atom-undefined -c quiet=true --quiet -c q=not_keyPerson LPmln/company_keyPerson/controlled/evidence_all1000/1208keyPerson_unique.txt 
clingo version 4.5.4
not_keyPerson('PepsiCo', 'CEO') 1.0
not_keyPerson('Burrito', 'CEO') 1.0
not_keyPerson('Pizza', 'Robert_D._Walter') 1.0
not_keyPerson('CFO', 'CEO') 1.0
not_keyPerson('Subsidiary', 'Glen_Bell') 1.0
not_keyPerson('Greg_Creed', 'Robert_D._Walter') 1.0
not_keyPerson('CEO', 'Robert_D._Walter') 1.0
not_keyPerson('Pizza', 'CFO') 1.0
not_keyPerson('Glen_Bell', 'CFO') 1.0
not_keyPerson('Greg_Creed', 'Glen_Bell') 1.0
not_keyPerson('Greg_Creed', 'CEO') 1.0
not_keyPerson('Tex-Mex_cuisine', 'Greg_Creed') 1.0
not_keyPerson('KFC', 'Glen_Bell') 1.0
not_keyPerson('Tex-Mex_cuisine', 'CFO') 1.0
not_keyPerson('Consolidated_city-county', 'Greg_Creed') 1.0
not_keyPerson('Yum!_Brands', 'Glen_Bell') 1.0
not_keyPerson('PepsiCo', 'Greg_Creed') 1.0


SATISFIABLE

Models       : 1     
Calls        : 1
Time         : 0.220s (Solving: 0.00s 1st Model: 0.00s Unsat: 0.00s)
CPU Time     : 0.220s
