id,test,False Negative,True Negative
236,"['Alcatel-Lucent', 'Ashok_Vemuri']","[""keyPerson('Alcatel-Lucent', 'Ashok_Vemuri') 1.0""]","[""not_keyPerson('Alcatel-Lucent', 'Ashok_Vemuri') 1.0""]"
232,"['Alcatel-Lucent', 'Jeff_Zucker']","[""keyPerson('Alcatel-Lucent', 'Jeff_Zucker') 1.0""]","[""not_keyPerson('Alcatel-Lucent', 'Jeff_Zucker') 1.0""]"
235,"['Alcatel-Lucent', 'Larry_Page']","[""keyPerson('Alcatel-Lucent', 'Larry_Page') 1.0""]","[""not_keyPerson('Alcatel-Lucent', 'Larry_Page') 1.0""]"
237,"['Alcoa', 'Felipe_Gozon']","[""keyPerson('Alcoa', 'Felipe_Gozon') 1.0""]","[""not_keyPerson('Alcoa', 'Felipe_Gozon') 1.0""]"
238,"['Alcoa', 'Frederick_W._Smith']","[""keyPerson('Alcoa', 'Frederick_W._Smith') 1.0""]","[""not_keyPerson('Alcoa', 'Frederick_W._Smith') 1.0""]"
239,"['Alcoa', 'Sumner_Redstone']","[""keyPerson('Alcoa', 'Sumner_Redstone') 1.0""]","[""not_keyPerson('Alcoa', 'Sumner_Redstone') 1.0""]"
229,"['Alliance_Boots', 'Bob_Iger']","[""keyPerson('Alliance_Boots', 'Bob_Iger') 1.0""]",[]
228,"['Alliance_Boots', 'David_Thodey']","[""keyPerson('Alliance_Boots', 'David_Thodey') 1.0""]","[""not_keyPerson('Alliance_Boots', 'David_Thodey') 1.0""]"
231,"['Alliance_Boots', 'Frederick_W._Smith']","[""keyPerson('Alliance_Boots', 'Frederick_W._Smith') 1.0""]",[]
230,"['Alliance_Boots', 'Julia_Stewart_(businesswoman)']","[""keyPerson('Alliance_Boots', 'Julia_Stewart_(businesswoman)') 1.0""]",[]
227,"['Alliance_Boots', 'Randall_L._Stephenson']","[""keyPerson('Alliance_Boots', 'Randall_L._Stephenson') 1.0""]",[]
241,"['Amazon.com', 'David_M._Cote']","[""keyPerson('Amazon.com', 'David_M._Cote') 1.0""]","[""not_keyPerson('Amazon.com', 'David_M._Cote') 1.0""]"
244,"['Amazon.com', 'Donald_E._Graham']","[""keyPerson('Amazon.com', 'Donald_E._Graham') 1.0""]","[""not_keyPerson('Amazon.com', 'Donald_E._Graham') 1.0""]"
243,"['Amazon.com', 'Gordon_Nixon']","[""keyPerson('Amazon.com', 'Gordon_Nixon') 1.0""]","[""not_keyPerson('Amazon.com', 'Gordon_Nixon') 1.0""]"
242,"['Amazon.com', 'Vince_McMahon']","[""keyPerson('Amazon.com', 'Vince_McMahon') 1.0"", ""keyPerson('Amazon.com', 'Vince_McMahon_Sr.') 1.0""]","[""not_keyPerson('Amazon.com', 'Vince_McMahon') 1.0"", ""not_keyPerson('Amazon.com', 'Vince_McMahon_Sr.') 1.0""]"
255,"['American_Airlines_Group', 'Jay_S._Fishman']","[""keyPerson('American_Airlines_Group', 'Jay_S._Fishman') 1.0""]","[""not_keyPerson('American_Airlines_Group', 'Jay_S._Fishman') 1.0""]"
256,"['American_Airlines_Group', 'Jeff_Zucker']","[""keyPerson('American_Airlines_Group', 'Jeff_Zucker') 1.0""]","[""not_keyPerson('American_Airlines_Group', 'Jeff_Zucker') 1.0""]"
257,"['American_Airlines_Group', 'Mike_S._Zafirovski']","[""keyPerson('American_Airlines_Group', 'Mike_S._Zafirovski') 1.0""]","[""not_keyPerson('American_Airlines_Group', 'Mike_S._Zafirovski') 1.0""]"
259,"['American_Airlines_Group', 'Satya_Nadella']","[""keyPerson('American_Airlines_Group', 'Satya_Nadella') 1.0""]","[""not_keyPerson('American_Airlines_Group', 'Satya_Nadella') 1.0""]"
251,"['American_Express', 'Bob_Iger']","[""keyPerson('American_Express', 'Bob_Iger') 1.0""]","[""not_keyPerson('American_Express', 'Bob_Iger') 1.0""]"
254,"['American_Express', 'Meg_Whitman']","[""keyPerson('American_Express', 'Meg_Whitman') 1.0""]","[""not_keyPerson('American_Express', 'Meg_Whitman') 1.0""]"
264,"['AOL', 'Diego_Della_Valle']","[""keyPerson('AOL', 'Diego_Della_Valle') 1.0""]","[""not_keyPerson('AOL', 'Diego_Della_Valle') 1.0""]"
260,"['AOL', 'Meg_Whitman']","[""keyPerson('AOL', 'Meg_Whitman') 1.0""]","[""not_keyPerson('AOL', 'Meg_Whitman') 1.0""]"
262,"['AOL', 'Rex_Tillerson']","[""keyPerson('AOL', 'Rex_Tillerson') 1.0""]","[""not_keyPerson('AOL', 'Rex_Tillerson') 1.0""]"
267,"['Apple_Inc.', 'Daniel_Vasella']","[""keyPerson('Apple_Inc.', 'Daniel_Vasella') 1.0""]",[]
269,"['Apple_Inc.', 'Gunupati_Venkata_Krishna_Reddy']","[""keyPerson('Apple_Inc.', 'Gunupati_Venkata_Krishna_Reddy') 1.0""]",[]
268,"['Apple_Inc.', 'John_Donahoe']","[""keyPerson('Apple_Inc.', 'John_Donahoe') 1.0""]",[]
266,"['Apple_Inc.', 'Andrew_Witty']","[""keyPerson('Apple_Inc.', 'Sir_Andrew_Witty') 1.0"", ""keyPerson('Apple_Inc.', 'Andrew_Witty') 1.0""]","[""not_keyPerson('Apple_Inc.', 'Sir_Andrew_Witty') 1.0""]"
271,"['ArcelorMittal', 'Klaus_Kleinfeld']","[""keyPerson('ArcelorMittal', 'Klaus_Kleinfeld') 1.0""]","[""not_keyPerson('ArcelorMittal', 'Klaus_Kleinfeld') 1.0""]"
272,"['ArcelorMittal', 'Mitchell_Baker']","[""keyPerson('ArcelorMittal', 'Mitchell_Baker') 1.0""]","[""not_keyPerson('ArcelorMittal', 'Mitchell_Baker') 1.0""]"
273,"['ArcelorMittal', 'Richard_Notebaert']","[""keyPerson('ArcelorMittal', 'Richard_Notebaert') 1.0""]","[""not_keyPerson('ArcelorMittal', 'Richard_Notebaert') 1.0""]"
276,"['AT&T', 'Norbert_Reithofer']","[""keyPerson('AT&T_Corporation', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T_Mexico', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T_Digital_Life', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T_U-verse', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T_Mobility', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T', 'Norbert_Reithofer') 1.0""]","[""not_keyPerson('AT&T_U-verse', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('AT&T_Corporation', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('AT&T_Mexico', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('AT&T_Communications', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('AT&T_Sports_Networks', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('AT&T_Mobility', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('AT&T_Digital_Life', 'Norbert_Reithofer') 1.0""]"
278,"['AT&T', 'David_Thodey']","[""keyPerson('AT&T_Digital_Life', 'David_Thodey') 1.0"", ""keyPerson('AT&T_Mexico', 'David_Thodey') 1.0"", ""keyPerson('AT&T_Corporation', 'David_Thodey') 1.0"", ""keyPerson('AT&T', 'David_Thodey') 1.0"", ""keyPerson('AT&T_Mobility', 'David_Thodey') 1.0"", ""keyPerson('AT&T_U-verse', 'David_Thodey') 1.0""]","[""not_keyPerson('AT&T_Corporation', 'David_Thodey') 1.0"", ""not_keyPerson('AT&T_Digital_Life', 'David_Thodey') 1.0"", ""not_keyPerson('AT&T_Communications', 'David_Thodey') 1.0"", ""not_keyPerson('AT&T_U-verse', 'David_Thodey') 1.0"", ""not_keyPerson('AT&T_Sports_Networks', 'David_Thodey') 1.0"", ""not_keyPerson('David_Thodey__1', 'AT&T_Corporation') 1.0"", ""not_keyPerson('AT&T', 'David_Thodey') 1.0"", ""not_keyPerson('AT&T_Mobility', 'David_Thodey') 1.0"", ""not_keyPerson('AT&T_Mexico', 'David_Thodey') 1.0""]"
279,"['AT&T', 'Martin_Winterkorn']","[""keyPerson('AT&T_Digital_Life', 'Martin_Winterkorn') 1.0"", ""keyPerson('AT&T_U-verse', 'Martin_Winterkorn') 1.0"", ""keyPerson('AT&T', 'Martin_Winterkorn') 1.0"", ""keyPerson('AT&T_Mobility', 'Martin_Winterkorn') 1.0"", ""keyPerson('AT&T_Mexico', 'Martin_Winterkorn') 1.0"", ""keyPerson('AT&T_Corporation', 'Martin_Winterkorn') 1.0""]","[""not_keyPerson('AT&T_Communications', 'Martin_Winterkorn') 1.0"", ""not_keyPerson('AT&T_Digital_Life', 'Martin_Winterkorn') 1.0"", ""not_keyPerson('AT&T', 'Martin_Winterkorn') 1.0"", ""not_keyPerson('AT&T_U-verse', 'Martin_Winterkorn') 1.0"", ""not_keyPerson('AT&T_Mexico', 'Martin_Winterkorn') 1.0"", ""not_keyPerson('AT&T_Sports_Networks', 'Martin_Winterkorn') 1.0"", ""not_keyPerson('Martin_Winterkorn__1', 'AT&T_Corporation') 1.0"", ""not_keyPerson('AT&T_Corporation', 'Martin_Winterkorn') 1.0"", ""not_keyPerson('AT&T_Mobility', 'Martin_Winterkorn') 1.0""]"
277,"['AT&T', 'Philippe_Dauman']","[""keyPerson('AT&T_Mobility', 'Philippe_Dauman') 1.0"", ""keyPerson('AT&T_Digital_Life', 'Philippe_Dauman') 1.0"", ""keyPerson('AT&T_Corporation', 'Philippe_Dauman') 1.0"", ""keyPerson('AT&T', 'Philippe_Dauman') 1.0"", ""keyPerson('AT&T_Mexico', 'Philippe_Dauman') 1.0"", ""keyPerson('AT&T_U-verse', 'Philippe_Dauman') 1.0""]","[""not_keyPerson('AT&T_Digital_Life', 'Philippe_Dauman') 1.0"", ""not_keyPerson('AT&T_Mobility', 'Philippe_Dauman') 1.0"", ""not_keyPerson('AT&T_U-verse', 'Philippe_Dauman') 1.0"", ""not_keyPerson('AT&T_Communications', 'Philippe_Dauman') 1.0"", ""not_keyPerson('AT&T_Corporation', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Philippe_Dauman__1', 'AT&T_Corporation') 1.0"", ""not_keyPerson('AT&T_Mexico', 'Philippe_Dauman') 1.0"", ""not_keyPerson('AT&T_Sports_Networks', 'Philippe_Dauman') 1.0"", ""not_keyPerson('AT&T', 'Philippe_Dauman') 1.0""]"
284,"['BAE_Systems', 'Indra_Nooyi']","[""keyPerson('BAE_Systems_Australia', 'Indra_Nooyi') 1.0"", ""keyPerson('BAE_Systems', 'Indra_Nooyi') 1.0"", ""keyPerson('BAE_Systems_Inc.', 'Indra_Nooyi') 1.0""]","[""not_keyPerson('BAE_Systems_Detica', 'Indra_Nooyi') 1.0"", ""not_keyPerson('BAE_Systems_Inc.', 'Indra_Nooyi') 1.0"", ""not_keyPerson('BAE_Systems_Australia', 'Indra_Nooyi') 1.0"", ""not_keyPerson('BAE_Systems_Electronics,_Intelligence_&_Support', 'Indra_Nooyi') 1.0"", ""not_keyPerson('BAE_Systems', 'Indra_Nooyi') 1.0"", ""not_keyPerson('BAE_Systems_Land_&_Armaments', 'Indra_Nooyi') 1.0""]"
281,"['BAE_Systems', 'Satya_Nadella']","[""keyPerson('BAE_Systems_Australia', 'Satya_Nadella') 1.0"", ""keyPerson('BAE_Systems', 'Satya_Nadella') 1.0"", ""keyPerson('BAE_Systems_Inc.', 'Satya_Nadella') 1.0""]","[""not_keyPerson('BAE_Systems_Inc.', 'Satya_Nadella') 1.0"", ""not_keyPerson('BAE_Systems_Detica', 'Satya_Nadella') 1.0"", ""not_keyPerson('BAE_Systems_Electronics,_Intelligence_&_Support', 'Satya_Nadella') 1.0"", ""not_keyPerson('BAE_Systems_Land_&_Armaments', 'Satya_Nadella') 1.0"", ""not_keyPerson('BAE_Systems_Australia', 'Satya_Nadella') 1.0"", ""not_keyPerson('BAE_Systems', 'Satya_Nadella') 1.0""]"
283,"['BAE_Systems', 'Brian_Krzanich']","[""keyPerson('BAE_Systems_Inc.', 'Brian_Krzanich') 1.0"", ""keyPerson('BAE_Systems', 'Brian_Krzanich') 1.0"", ""keyPerson('BAE_Systems_Australia', 'Brian_Krzanich') 1.0""]","[""not_keyPerson('BAE_Systems_Inc.', 'Brian_Krzanich') 1.0"", ""not_keyPerson('BAE_Systems_Electronics,_Intelligence_&_Support', 'Brian_Krzanich') 1.0"", ""not_keyPerson('BAE_Systems_Australia', 'Brian_Krzanich') 1.0"", ""not_keyPerson('BAE_Systems_Detica', 'Brian_Krzanich') 1.0"", ""not_keyPerson('BAE_Systems', 'Brian_Krzanich') 1.0"", ""not_keyPerson('BAE_Systems_Land_&_Armaments', 'Brian_Krzanich') 1.0""]"
280,"['BAE_Systems', 'Satoru_Iwata']","[""keyPerson('BAE_Systems', 'Satoru_Iwata') 1.0"", ""keyPerson('BAE_Systems_Inc.', 'Satoru_Iwata') 1.0"", ""keyPerson('BAE_Systems_Australia', 'Satoru_Iwata') 1.0""]","[""not_keyPerson('BAE_Systems', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Satoru_Iwata') 1.0"", ""not_keyPerson('BAE_Systems_Land_&_Armaments', 'Satoru_Iwata') 1.0"", ""not_keyPerson('BAE_Systems_Electronics,_Intelligence_&_Support', 'Satoru_Iwata') 1.0"", ""not_keyPerson('BAE_Systems_Detica', 'Satoru_Iwata') 1.0"", ""not_keyPerson('BAE_Systems_Inc.', 'Satoru_Iwata') 1.0"", ""not_keyPerson('BAE_Systems_Australia', 'Satoru_Iwata') 1.0""]"
285,"['Banco_Bilbao_Vizcaya_Argentaria', 'Ben_van_Beurden']","[""keyPerson('Banco_Bilbao_Vizcaya_Argentaria', 'Ben_van_Beurden') 1.0""]",[]
286,"['Banco_Bilbao_Vizcaya_Argentaria', 'Jeffrey_R._Immelt']","[""keyPerson('Banco_Bilbao_Vizcaya_Argentaria', 'Jeffrey_R._Immelt') 1.0""]",[]
289,"['Banco_Bilbao_Vizcaya_Argentaria', 'Ross_McEwan']","[""keyPerson('Banco_Bilbao_Vizcaya_Argentaria', 'Ross_McEwan') 1.0""]",[]
288,"['Banco_Bilbao_Vizcaya_Argentaria', 'Terry_Gou']","[""keyPerson('Banco_Bilbao_Vizcaya_Argentaria', 'Terry_Gou') 1.0""]",[]
294,"['Bank_of_America', 'Daymond_John']","[""keyPerson('Bank_of_America_Merrill_Lynch', 'Daymond_John') 1.0"", ""keyPerson('Bank_of_America', 'Daymond_John') 1.0"", ""keyPerson('Bank_of_America_Home_Loans', 'Daymond_John') 1.0""]","[""not_keyPerson('Bank_of_America', 'Daymond_John') 1.0"", ""not_keyPerson('Bank_of_America_Merrill_Lynch', 'Daymond_John') 1.0"", ""not_keyPerson('Bank_of_America_Home_Loans', 'Daymond_John') 1.0""]"
651,"['Merrill_Lynch', 'Howard_Schultz']","[""keyPerson('Bank_of_America_Merrill_Lynch', 'Howard_Schultz') 1.0"", ""keyPerson('Merrill_Lynch', 'Howard_Schultz') 1.0""]","[""not_keyPerson('Bank_of_America_Merrill_Lynch', 'Howard_Schultz') 1.0"", ""not_keyPerson('Merrill_Lynch', 'Howard_Schultz') 1.0""]"
652,"['Merrill_Lynch', 'John_T._Chambers']","[""keyPerson('Bank_of_America_Merrill_Lynch', 'John_T._Chambers') 1.0"", ""keyPerson('Merrill_Lynch', 'John_T._Chambers') 1.0""]","[""not_keyPerson('Merrill_Lynch', 'John_T._Chambers') 1.0"", ""not_keyPerson('Bank_of_America_Merrill_Lynch', 'John_T._Chambers') 1.0""]"
653,"['Merrill_Lynch', 'Marissa_Mayer']","[""keyPerson('Bank_of_America_Merrill_Lynch', 'Marissa_Mayer') 1.0"", ""keyPerson('Merrill_Lynch', 'Marissa_Mayer') 1.0""]","[""not_keyPerson('Merrill_Lynch', 'Marissa_Mayer') 1.0"", ""not_keyPerson('Bank_of_America_Merrill_Lynch', 'Marissa_Mayer') 1.0""]"
291,"['Bank_of_America', 'Paul_Allen']","[""keyPerson('Bank_of_America_Merrill_Lynch', 'Paul_Allen') 1.0"", ""keyPerson('Bank_of_America_Home_Loans', 'Paul_Allen') 1.0"", ""keyPerson('Bank_of_America', 'Paul_Allen') 1.0""]","[""not_keyPerson('Bank_of_America_Merrill_Lynch', 'Paul_Allen') 1.0"", ""not_keyPerson('Bank_of_America_Home_Loans', 'Paul_Allen') 1.0"", ""not_keyPerson('Bank_of_America', 'Paul_Allen') 1.0""]"
290,"['Bank_of_America', 'Rajeev_Suri']","[""keyPerson('Bank_of_America_Merrill_Lynch', 'Rajeev_Suri') 1.0"", ""keyPerson('Bank_of_America', 'Rajeev_Suri') 1.0"", ""keyPerson('Bank_of_America_Home_Loans', 'Rajeev_Suri') 1.0""]","[""not_keyPerson('Bank_of_America_Merrill_Lynch', 'Rajeev_Suri') 1.0"", ""not_keyPerson('Bank_of_America', 'Rajeev_Suri') 1.0"", ""not_keyPerson('Bank_of_America_Home_Loans', 'Rajeev_Suri') 1.0""]"
299,"['Barclays', 'Al-Waleed_bin_Talal']","[""keyPerson('Barclays_Africa_Group', 'Al-Waleed_bin_Talal') 1.0"", ""keyPerson('Barclays_Investment_Bank', 'Al-Waleed_bin_Talal') 1.0"", ""keyPerson('Barclays', 'Al-Waleed_bin_Talal') 1.0""]","[""not_keyPerson('Barclays_Africa_Group', 'Al-Waleed_bin_Talal') 1.0"", ""not_keyPerson('Barclays_Investment_Bank', 'Al-Waleed_bin_Talal') 1.0"", ""not_keyPerson('Barclays', 'Al-Waleed_bin_Talal') 1.0""]"
296,"['Barclays', 'David_J._Lesar']","[""keyPerson('Barclays_Africa_Group', 'David_J._Lesar') 1.0"", ""keyPerson('Barclays', 'David_J._Lesar') 1.0"", ""keyPerson('Barclays_Investment_Bank', 'David_J._Lesar') 1.0""]","[""not_keyPerson('Barclays_Africa_Group', 'David_J._Lesar') 1.0"", ""not_keyPerson('Barclays', 'David_J._Lesar') 1.0"", ""not_keyPerson('Barclays_Investment_Bank', 'David_J._Lesar') 1.0""]"
297,"['Barclays', 'Isaac_Larian']","[""keyPerson('Barclays_Africa_Group', 'Isaac_Larian') 1.0"", ""keyPerson('Barclays', 'Isaac_Larian') 1.0"", ""keyPerson('Barclays_Investment_Bank', 'Isaac_Larian') 1.0""]","[""not_keyPerson('Barclays_Africa_Group', 'Isaac_Larian') 1.0"", ""not_keyPerson('Barclays', 'Isaac_Larian') 1.0"", ""not_keyPerson('Barclays_Investment_Bank', 'Isaac_Larian') 1.0""]"
295,"['Barclays', 'Tom_Enders']","[""keyPerson('Barclays', 'Tom_Enders') 1.0"", ""keyPerson('Barclays_Africa_Group', 'Tom_Enders') 1.0"", ""keyPerson('Barclays_Investment_Bank', 'Tom_Enders') 1.0""]","[""not_keyPerson('Barclays_Africa_Group', 'Tom_Enders') 1.0"", ""not_keyPerson('Barclays', 'Tom_Enders') 1.0"", ""not_keyPerson('Barclays_Investment_Bank', 'Tom_Enders') 1.0""]"
304,"['Berkshire_Hathaway', 'James_J._Greco']","[""keyPerson('Berkshire_Hathaway', 'James_J._Greco') 1.0"", ""keyPerson('List_of_assets_owned_by_Berkshire_Hathaway', 'James_J._Greco') 1.0""]","[""not_keyPerson('Berkshire_Hathaway', 'James_J._Greco') 1.0"", ""not_keyPerson('List_of_assets_owned_by_Berkshire_Hathaway', 'James_J._Greco') 1.0""]"
309,"['Best_Buy', 'Frederick_W._Smith']","[""keyPerson('Best_Buy_Europe', 'Frederick_W._Smith') 1.0""]","[""not_keyPerson('Best_Buy', 'Frederick_W._Smith') 1.0""]"
308,"['Best_Buy', 'Natarajan_Chandrasekaran']","[""keyPerson('Best_Buy_Europe', 'Natarajan_Chandrasekaran') 1.0""]","[""not_keyPerson('Best_Buy', 'Natarajan_Chandrasekaran') 1.0""]"
305,"['Best_Buy', 'Ross_McEwan']","[""keyPerson('Best_Buy_Europe', 'Ross_McEwan') 1.0"", ""keyPerson('Best_Buy', 'Ross_McEwan') 1.0""]","[""not_keyPerson('Best_Buy', 'Ross_McEwan') 1.0""]"
306,"['Best_Buy', 'Steve_Siegel']","[""keyPerson('Best_Buy_Europe', 'Steve_Siegel') 1.0"", ""keyPerson('Best_Buy', 'Steve_Siegel') 1.0""]","[""not_keyPerson('Best_Buy', 'Steve_Siegel') 1.0""]"
307,"['Best_Buy', 'Denise_Morrison']","[""keyPerson('Best_Buy', 'Denise_Morrison') 1.0"", ""keyPerson('Best_Buy_Europe', 'Denise_Morrison') 1.0""]","[""not_keyPerson('Best_Buy', 'Denise_Morrison') 1.0""]"
314,"['Bharti_Enterprises', 'Antony_Jenkins']","[""keyPerson('Bharti_Enterprises', 'Antony_Jenkins') 1.0""]","[""not_keyPerson('Bharti_Enterprises', 'Antony_Jenkins') 1.0""]"
313,"['Bharti_Enterprises', 'Jeff_Zucker']","[""keyPerson('Bharti_Enterprises', 'Jeff_Zucker') 1.0""]","[""not_keyPerson('Bharti_Enterprises', 'Jeff_Zucker') 1.0""]"
310,"['Bharti_Enterprises', 'Lakshmi_Mittal']","[""keyPerson('Bharti_Enterprises', 'Lakshmi_Mittal') 1.0""]","[""not_keyPerson('Bharti_Enterprises', 'Lakshmi_Mittal') 1.0""]"
311,"['Bharti_Enterprises', 'Wilfred_Kiboro']","[""keyPerson('Bharti_Enterprises', 'Wilfred_Kiboro') 1.0""]","[""not_keyPerson('Bharti_Enterprises', 'Wilfred_Kiboro') 1.0""]"
321,"['BHP_Billiton', 'Alan_Joyce_(executive)']","[""keyPerson('BHP_Billiton', 'Alan_Joyce_(executive)') 1.0""]","[""not_keyPerson('BHP_Billiton', 'Alan_Joyce_(executive)') 1.0""]"
323,"['BHP_Billiton', 'David_Thodey']","[""keyPerson('BHP_Billiton', 'David_Thodey') 1.0""]","[""not_keyPerson('BHP_Billiton', 'David_Thodey') 1.0""]"
322,"['BHP_Billiton', 'Ho_Ching']","[""keyPerson('BHP_Billiton', 'Ho_Ching') 1.0""]",[]
320,"['BHP_Billiton', 'James_M._Wells,_III']","[""keyPerson('BHP_Billiton', 'James_M._Wells,_III') 1.0""]",[]
327,"['BMW', 'Dick_Costolo']","[""keyPerson('BMW', 'Dick_Costolo') 1.0""]","[""not_keyPerson('BMW', 'Dick_Costolo') 1.0"", ""not_keyPerson('BMW_i', 'Dick_Costolo') 1.0""]"
