id,test,True Positive,False Positive
19,"['Bank_of_America', 'Brian_Moynihan']","[""keyPerson('Bank_of_America_Merrill_Lynch', 'Brian_Moynihan') 1.0"", ""keyPerson('Bank_of_America', 'Brian_Moynihan') 1.0"", ""keyPerson('Brian_Moynihan__1', 'Bank_of_America') 1.0"", ""keyPerson('Brian_Moynihan__1', 'Bank_of_America_Merrill_Lynch') 1.0"", ""keyPerson('Bank_of_America_Home_Loans', 'Brian_Moynihan') 1.0""]","[""not_keyPerson('Bank_of_America_Merrill_Lynch', 'Brian_Moynihan') 1.0"", ""not_keyPerson('Brian_Moynihan__1', 'Bank_of_America_Merrill_Lynch') 1.0"", ""not_keyPerson('Brian_Moynihan', 'Bank_of_America_Merrill_Lynch') 1.0"", ""not_keyPerson('Bank_of_America', 'Brian_Moynihan') 1.0"", ""not_keyPerson('Brian_Moynihan__1', 'Bank_of_America') 1.0"", ""not_keyPerson('Brian_Moynihan', 'Bank_of_America') 1.0"", ""not_keyPerson('Bank_of_America_Home_Loans', 'Brian_Moynihan') 1.0""]"
20,"['Barclays', 'Antony_Jenkins']","[""keyPerson('Barclays_Africa_Group', 'Antony_Jenkins') 1.0"", ""keyPerson('Barclays_Wealth', 'Antony_Jenkins') 1.0"", ""keyPerson('Barclays', 'Antony_Jenkins') 1.0"", ""keyPerson('Barclays_Investment_Bank', 'Antony_Jenkins') 1.0""]","[""not_keyPerson('Barclays_Africa_Group', 'Antony_Jenkins') 1.0"", ""not_keyPerson('Barclays_Wealth', 'Antony_Jenkins') 1.0"", ""not_keyPerson('Barclays', 'Antony_Jenkins') 1.0"", ""not_keyPerson('Barclays_Investment_Bank', 'Antony_Jenkins') 1.0""]"
22,"['Best_Buy', 'Hubert_Joly']","[""keyPerson('Best_Buy', 'Hubert_Joly') 1.0"", ""keyPerson('Best_Buy_Europe', 'Hubert_Joly') 1.0""]","[""not_keyPerson('Best_Buy', 'Hubert_Joly') 1.0"", ""not_keyPerson('Best_Buy_Europe', 'Hubert_Joly') 1.0""]"
23,"['Bharti_Enterprises', 'Sunil_Mittal']","[""keyPerson('Bharti_Enterprises', 'Sunil_Mittal') 1.0""]","[""not_keyPerson('Bharti_Enterprises', 'Sunil_Mittal') 1.0""]"
25,"['BHP_Billiton', 'Andrew_Mackenzie_(businessman)']","[""keyPerson('BHP_Billiton', 'Andrew_Mackenzie_(businessman)') 1.0""]","[""not_keyPerson('BHP_Billiton', 'Andrew_Mackenzie_(businessman)') 1.0""]"
26,"['BMW', 'Norbert_Reithofer']","[""keyPerson('BMW_AG', 'Norbert_Reithofer') 1.0"", ""keyPerson('BMW', 'Norbert_Reithofer') 1.0"", ""keyPerson('BMW_i', 'Norbert_Reithofer') 1.0""]","[""not_keyPerson('BMW_AG', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('Norbert_Reithofer', 'BMW') 1.0"", ""not_keyPerson('BMW', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('BMW_i', 'Norbert_Reithofer') 1.0""]"
27,"['Boston_Consulting_Group', 'Rich_Lesser']","[""keyPerson('Boston_Consulting_Group', 'Rich_Lesser') 1.0""]","[""not_keyPerson('Boston_Consulting_Group', 'Rich_Lesser') 1.0""]"
28,"['BP', 'Bob_Dudley']","[""keyPerson('BP', 'Bob_Dudley') 1.0""]","[""not_keyPerson('BP', 'Bob_Dudley') 1.0""]"
39,"['Comcast', 'Brian_L._Roberts']","[""keyPerson('Brian_L._Roberts__1', 'Comcast') 1.0"", ""keyPerson('Comcast_Spectacor', 'Brian_L._Roberts') 1.0"", ""keyPerson('Comcast', 'Brian_L._Roberts') 1.0"", ""keyPerson('Comcast_Spotlight', 'Brian_L._Roberts') 1.0"", ""keyPerson('Comcast_Interactive_Media', 'Brian_L._Roberts') 1.0"", ""keyPerson('Comcast_Cable', 'Brian_L._Roberts') 1.0"", ""keyPerson('Founder of Comcast', 'Brian_L._Roberts') 1.0"", ""keyPerson('Co-Founder of Comcast Corporation', 'Brian_L._Roberts') 1.0"", ""keyPerson('Comcast_Business', 'Brian_L._Roberts') 1.0""]","[""not_keyPerson('Brian_L._Roberts__1', 'Comcast') 1.0"", ""not_keyPerson('Comcast_Spectacor', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Brian_L._Roberts', 'Comcast') 1.0"", ""not_keyPerson('Comcast_Spotlight', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast_Interactive_Media', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Co-Founder of Comcast Corporation', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast_Business', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Founder of Comcast', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast_Cable', 'Brian_L._Roberts') 1.0""]"
17,"['BAE_Systems', 'Ian_King_(BAE_Systems)']","[""keyPerson('British_Aerospace', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'British_Aircraft_Corporation') 1.0"", ""keyPerson('Portsmouth', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'President_(corporate_title)') 1.0"", ""keyPerson('Hawker_Siddeley_Aviation', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('City_status_in_the_United_Kingdom', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('BAE_Systems_Detica', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Combat_vehicle', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'Guglielmo_Marconi') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'BAE_Systems') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'British_Aerospace') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'Incumbent') 1.0"", ""keyPerson('Michael_Turner_(businessman)', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'Michael_Turner_(businessman)') 1.0"", ""keyPerson('Private', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'British_Aircraft_Corporation') 1.0"", ""keyPerson('BAE_Systems', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'Roger_Carr_(businessman)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Hawker_Siddeley_Dynamics') 1.0"", ""keyPerson('British_Aircraft_Corporation', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Scottish_Aviation', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Roger_Carr_(businessman)__1', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Aircraft', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('The_General_Electric_Company', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Roger_Carr_(businessman)') 1.0"", ""keyPerson('Profession', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Arnold_Weinstock') 1.0"", ""keyPerson('Subsidiary', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Mrs King') 1.0"", ""keyPerson('BAE_Systems_Inc.', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Public_limited_company', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'Arnold_Weinstock') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'BAE_Systems') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'Scottish_Aviation') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'Hawker_Siddeley_Aviation') 1.0"", ""keyPerson('Hawker_Siddeley_Dynamics', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Scottish_Aviation') 1.0"", ""keyPerson('BAE_Systems_plc', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Incumbent', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Guglielmo_Marconi') 1.0"", ""keyPerson('Rover_Group', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'President_(corporate_title)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Incumbent') 1.0"", ""keyPerson('BAE_Systems_Electronics,_Intelligence_&_Support', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'British_Aerospace') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'Mrs King') 1.0"", ""keyPerson('State-owned_company', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Michael_Turner_(businessman)') 1.0"", ""keyPerson('Munition', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('BAE_Systems_Australia', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Hawker_Siddeley_Aviation') 1.0"", ""keyPerson('Marconi_Electronic_Systems', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('London', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Roger_Carr_(businessman)', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('BAE_Systems_Land_&_Armaments', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Naval_ship', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'Hawker_Siddeley_Dynamics') 1.0""]","[""not_keyPerson('British_Aerospace', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Portsmouth', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'President_(corporate_title)') 1.0"", ""not_keyPerson('Hawker_Siddeley_Aviation', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Marconi_Electronic_Systems') 1.0"", ""not_keyPerson('Mrs King', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('City_status_in_the_United_Kingdom', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('State-owned_company', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('BAE_Systems_Detica', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Combat_vehicle', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Guglielmo_Marconi') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'BAE_Systems') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'British_Aerospace') 1.0"", ""not_keyPerson('Profession', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Incumbent') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'British_Aircraft_Corporation') 1.0"", ""not_keyPerson('Michael_Turner_(businessman)', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Michael_Turner_(businessman)') 1.0"", ""not_keyPerson('Private', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'British_Aircraft_Corporation') 1.0"", ""not_keyPerson('BAE_Systems', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Roger_Carr_(businessman)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Hawker_Siddeley_Dynamics') 1.0"", ""not_keyPerson('British_Aircraft_Corporation', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Guglielmo_Marconi', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Scottish_Aviation', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Marconi_Electronic_Systems') 1.0"", ""not_keyPerson('Roger_Carr_(businessman)__1', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Aircraft', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('The_General_Electric_Company', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Roger_Carr_(businessman)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Arnold_Weinstock') 1.0"", ""not_keyPerson('Subsidiary', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Mrs King') 1.0"", ""not_keyPerson('BAE_Systems_Inc.', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Public_limited_company', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Arnold_Weinstock') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'BAE_Systems') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Scottish_Aviation') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Hawker_Siddeley_Aviation') 1.0"", ""not_keyPerson('Hawker_Siddeley_Dynamics', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Scottish_Aviation') 1.0"", ""not_keyPerson('BAE_Systems_plc', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Incumbent', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('President_(corporate_title)', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Guglielmo_Marconi') 1.0"", ""not_keyPerson('Rover_Group', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'President_(corporate_title)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Incumbent') 1.0"", ""not_keyPerson('BAE_Systems_Electronics,_Intelligence_&_Support', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'British_Aerospace') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Mrs King') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Michael_Turner_(businessman)') 1.0"", ""not_keyPerson('Munition', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('BAE_Systems_Australia', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Arnold_Weinstock', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Hawker_Siddeley_Aviation') 1.0"", ""not_keyPerson('Marconi_Electronic_Systems', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('London', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Roger_Carr_(businessman)', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('BAE_Systems_Land_&_Armaments', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Naval_ship', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Hawker_Siddeley_Dynamics') 1.0""]"
29,"['Campbell_Soup_Company', 'Denise_Morrison']","[""keyPerson('Campbell_Soup_Company', 'Denise_Morrison') 1.0""]","[""not_keyPerson('Campbell_Soup_Company', 'Denise_Morrison') 1.0""]"
30,"['Canonical_(company)', 'Jane_Silber']","[""keyPerson('Canonical_(company)', 'Jane_Silber') 1.0""]","[""not_keyPerson('Canonical_(company)', 'Jane_Silber') 1.0""]"
31,"['Capital_One', 'Richard_Fairbank']","[""keyPerson('Capital_One', 'Richard_Fairbank') 1.0""]","[""not_keyPerson('Capital_One', 'Richard_Fairbank') 1.0""]"
124,"['Renault', 'Carlos_Ghosn']","[""keyPerson('Louis_Renault_(industrialist)__1', 'Carlos_Ghosn') 1.0"", ""keyPerson('Renault', 'Carlos_Ghosn') 1.0"", ""keyPerson('Carlos_Ghosn__1', 'Louis_Renault_(industrialist)') 1.0"", ""keyPerson('Carlos_Ghosn__1', 'Marcel_Renault') 1.0"", ""keyPerson('Renault_Sport', 'Carlos_Ghosn') 1.0"", ""keyPerson('Renault-Nissan_Alliance', 'Carlos_Ghosn') 1.0"", ""keyPerson('Carlos_Ghosn__1', 'Fernand_Renault') 1.0""]","[""not_keyPerson('Carlos_Ghosn', 'Fernand_Renault') 1.0"", ""not_keyPerson('Carlos_Ghosn__1', 'Louis_Renault_(industrialist)') 1.0"", ""not_keyPerson('Carlos_Ghosn__1', 'Fernand_Renault') 1.0"", ""not_keyPerson('Carlos_Ghosn', 'Marcel_Renault') 1.0"", ""not_keyPerson('Fernand_Renault', 'Carlos_Ghosn') 1.0"", ""not_keyPerson('Renault_Sport', 'Carlos_Ghosn') 1.0"", ""not_keyPerson('Marcel_Renault', 'Carlos_Ghosn') 1.0"", ""not_keyPerson('Renault-Nissan_Alliance', 'Carlos_Ghosn') 1.0"", ""not_keyPerson('Carlos_Ghosn__1', 'Marcel_Renault') 1.0"", ""not_keyPerson('Louis_Renault_(industrialist)', 'Carlos_Ghosn') 1.0"", ""not_keyPerson('Renault', 'Carlos_Ghosn') 1.0"", ""not_keyPerson('Louis_Renault_(industrialist)__1', 'Carlos_Ghosn') 1.0"", ""not_keyPerson('Carlos_Ghosn', 'Louis_Renault_(industrialist)') 1.0""]"
32,"['Caterpillar_Inc.', 'Douglas_R._Oberhelman']","[""keyPerson('Douglas_R._Oberhelman__1', 'Caterpillar_Inc.') 1.0"", ""keyPerson('Caterpillar_Inc.', 'Douglas_R._Oberhelman') 1.0"", ""keyPerson('Douglas_R._Oberhelman', 'Caterpillar_Inc.') 1.0""]","[""not_keyPerson('Caterpillar_Inc.', 'Douglas_R._Oberhelman') 1.0"", ""not_keyPerson('Douglas_R._Oberhelman__1', 'Caterpillar_Inc.') 1.0"", ""not_keyPerson('Douglas_R._Oberhelman', 'Caterpillar_Inc.') 1.0""]"
35,"['Cisco_Systems', 'John_T._Chambers']","[""keyPerson('Cisco_Systems', 'John_T._Chambers') 1.0"", ""keyPerson('List_of_acquisitions_by_Cisco_Systems', 'John_T._Chambers') 1.0""]","[""not_keyPerson('Cisco_Systems', 'John_T._Chambers') 1.0"", ""not_keyPerson('List_of_acquisitions_by_Cisco_Systems', 'John_T._Chambers') 1.0""]"
36,"['Citigroup', 'Michael_Corbat']","[""keyPerson('Citigroup', 'Michael_Corbat') 1.0"", ""keyPerson('Nikko_Citigroup', 'Michael_Corbat') 1.0""]","[""not_keyPerson('Citigroup', 'Michael_Corbat') 1.0"", ""not_keyPerson('Nikko_Citigroup', 'Michael_Corbat') 1.0""]"
40,"['ConAgra_Foods', 'Gary_Rodkin']","[""keyPerson('ConAgra_Foods', 'Gary_Rodkin') 1.0""]","[""not_keyPerson('ConAgra_Foods', 'Gary_Rodkin') 1.0""]"
41,"['Crown_Worldwide_Group', 'James_E._Thompson']","[""keyPerson('Crown_Worldwide_Group', 'James_E._Thompson') 1.0""]","[""not_keyPerson('Crown_Worldwide_Group', 'James_E._Thompson') 1.0""]"
90,"['Manchester_United_F.C.', 'David_Gill_(executive)']","[""keyPerson('David_Gill_(executive)__1', 'Manchester_United_F.C.') 1.0"", ""keyPerson('Manchester_United_F.C.', 'David_Gill_(executive)') 1.0""]","[""not_keyPerson('David_Gill_(executive)', 'Manchester_United_F.C.') 1.0"", ""not_keyPerson('Manchester_United_F.C.', 'David_Gill_(executive)') 1.0"", ""not_keyPerson('David_Gill_(executive)__1', 'Manchester_United_F.C.') 1.0""]"
45,"['Deutsche_Bank', 'Anshu_Jain']","[""keyPerson('Deutsche_Bank_Twin_Towers', 'Anshu_Jain') 1.0"", ""keyPerson('Deutsche_Bank', 'Anshu_Jain') 1.0""]","[""not_keyPerson('Deutsche_Bank_Twin_Towers', 'Anshu_Jain') 1.0"", ""not_keyPerson('Deutsche_Bank', 'Anshu_Jain') 1.0""]"
46,"['Deutsche_Post', 'Frank_Appel']","[""keyPerson('Deutsche_Post_AG', 'Frank_Appel') 1.0"", ""keyPerson('Frank_Appel', 'Deutsche_Post_AG') 1.0"", ""keyPerson('Deutsche_Post', 'Frank_Appel') 1.0"", ""keyPerson('Frank_Appel__1', 'Deutsche_Post_AG') 1.0""]","[""not_keyPerson('Deutsche_Post_AG', 'Frank_Appel') 1.0"", ""not_keyPerson('Frank_Appel', 'Deutsche_Post_AG') 1.0"", ""not_keyPerson('Deutsche_Post', 'Frank_Appel') 1.0"", ""not_keyPerson('Frank_Appel__1', 'Deutsche_Post_AG') 1.0""]"
42,"['Daimler_AG', 'Dieter_Zetsche']","[""keyPerson('Daimler_AG', 'Dieter_Zetsche') 1.0"", ""keyPerson('Dieter_Zetsche__1', 'Daimler_AG') 1.0""]","[""not_keyPerson('Dieter_Zetsche', 'Daimler_AG') 1.0"", ""not_keyPerson('Daimler_AG', 'Dieter_Zetsche') 1.0"", ""not_keyPerson('Dieter_Zetsche__1', 'Daimler_AG') 1.0""]"
47,"['DineEquity', 'Julia_Stewart_(businesswoman)']","[""keyPerson('DineEquity', 'Julia_Stewart_(businesswoman)') 1.0""]","[""not_keyPerson('DineEquity', 'Julia_Stewart_(businesswoman)') 1.0""]"
48,"['DLF_(company)', 'Kushal_Pal_Singh']","[""keyPerson('DLF_(company)', 'Kushal_Pal_Singh') 1.0""]","[""not_keyPerson('DLF_(company)', 'Kushal_Pal_Singh') 1.0""]"
