id,triple,True Positive,False Positive
22,"['Best_Buy', 'Hubert_Joly']","[""keyPerson('Best_Buy', 'Hubert_Joly') 1.0"", ""keyPerson('Best_Buy_Europe', 'Hubert_Joly') 1.0""]","[""not_keyPerson('Best_Buy', 'Hubert_Joly') 1.0""]"
23,"['Bharti_Enterprises', 'Sunil_Mittal']","[""keyPerson('Bharti_Enterprises', 'Sunil_Mittal') 1.0""]","[""not_keyPerson('Bharti_Enterprises', 'Sunil_Mittal') 1.0""]"
26,"['BMW', 'Norbert_Reithofer']","[""keyPerson('BMW', 'Norbert_Reithofer') 1.0""]","[""not_keyPerson('BMW', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('BMW_i', 'Norbert_Reithofer') 1.0""]"
27,"['Boston_Consulting_Group', 'Rich_Lesser']","[""keyPerson('Boston_Consulting_Group', 'Rich_Lesser') 1.0""]","[""not_keyPerson('Boston_Consulting_Group', 'Rich_Lesser') 1.0""]"
28,"['BP', 'Bob_Dudley']","[""keyPerson('BP', 'Bob_Dudley') 1.0""]","[""not_keyPerson('BP', 'Bob_Dudley') 1.0""]"
29,"['Campbell_Soup_Company', 'Denise_Morrison']","[""keyPerson('Campbell_Soup_Company', 'Denise_Morrison') 1.0""]","[""not_keyPerson('Campbell_Soup_Company', 'Denise_Morrison') 1.0""]"
34,"['CBS_Corporation', 'Leslie_Moonves']","[""keyPerson('CBS_Corporation', 'Leslie_Moonves') 1.0""]","[""not_keyPerson('CBS_Corporation', 'Leslie_Moonves') 1.0""]"
36,"['Citigroup', 'Michael_Corbat']","[""keyPerson('Citigroup', 'Michael_Corbat') 1.0""]","[""not_keyPerson('Citigroup', 'Michael_Corbat') 1.0"", ""not_keyPerson('Nikko_Citigroup', 'Michael_Corbat') 1.0""]"
39,"['Comcast', 'Brian_L._Roberts']","[""keyPerson('Comcast', 'Brian_L._Roberts') 1.0"", ""keyPerson('Comcast_Spectacor', 'Brian_L._Roberts') 1.0"", ""keyPerson('Comcast_Interactive_Media', 'Brian_L._Roberts') 1.0"", ""keyPerson('Comcast_Cable', 'Brian_L._Roberts') 1.0""]","[""not_keyPerson('Comcast_Spotlight', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast_Interactive_Media', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast_Spectacor', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast_Cable', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast_Business', 'Brian_L._Roberts') 1.0""]"
41,"['Crown_Worldwide_Group', 'James_E._Thompson']","[""keyPerson('Crown_Worldwide_Group', 'James_E._Thompson') 1.0""]","[""not_keyPerson('Crown_Worldwide_Group', 'James_E._Thompson') 1.0""]"
42,"['Daimler_AG', 'Dieter_Zetsche']","[""keyPerson('Daimler_AG', 'Dieter_Zetsche') 1.0""]","[""not_keyPerson('Daimler_AG', 'Dieter_Zetsche') 1.0""]"
46,"['Deutsche_Post', 'Frank_Appel']","[""keyPerson('Deutsche_Post', 'Frank_Appel') 1.0""]","[""not_keyPerson('Deutsche_Post', 'Frank_Appel') 1.0""]"
47,"['DineEquity', 'Julia_Stewart_(businesswoman)']","[""keyPerson('DineEquity', 'Julia_Stewart_(businesswoman)') 1.0""]","[""not_keyPerson('DineEquity', 'Julia_Stewart_(businesswoman)') 1.0""]"
48,"['DLF_(company)', 'Kushal_Pal_Singh']","[""keyPerson('DLF_(company)', 'Kushal_Pal_Singh') 1.0""]","[""not_keyPerson('DLF_(company)', 'Kushal_Pal_Singh') 1.0""]"
51,"['EBay', 'John_Donahoe']","[""keyPerson('EBay', 'John_Donahoe') 1.0""]","[""not_keyPerson('EBay', 'John_Donahoe') 1.0""]"
53,"['Ericsson', 'Hans_Vestberg']","[""keyPerson('Ericsson_Broadcast_and_Media_Services', 'Hans_Vestberg') 1.0"", ""keyPerson('Ericsson', 'Hans_Vestberg') 1.0""]","[""not_keyPerson('Ericsson-LG', 'Hans_Vestberg') 1.0"", ""not_keyPerson('Ericsson_Broadcast_and_Media_Services', 'Hans_Vestberg') 1.0""]"
54,"['ExxonMobil', 'Rex_Tillerson']","[""keyPerson('ExxonMobil', 'Rex_Tillerson') 1.0""]","[""not_keyPerson('ExxonMobil', 'Rex_Tillerson') 1.0""]"
55,"['Facebook', 'Mark_Zuckerberg']","[""keyPerson('Facebook', 'Mark_Zuckerberg') 1.0""]","[""not_keyPerson('Facebook_Messenger', 'Mark_Zuckerberg') 1.0"", ""not_keyPerson('Facebook', 'Mark_Zuckerberg') 1.0""]"
56,"['FedEx', 'Frederick_W._Smith']","[""keyPerson('FedEx_Office', 'Frederick_W._Smith') 1.0"", ""keyPerson('FedEx', 'Frederick_W._Smith') 1.0"", ""keyPerson('FedEx_Ground', 'Frederick_W._Smith') 1.0""]","[""not_keyPerson('FedEx_Office', 'Frederick_W._Smith') 1.0"", ""not_keyPerson('FedEx_Express', 'Frederick_W._Smith') 1.0"", ""not_keyPerson('FedEx', 'Frederick_W._Smith') 1.0"", ""not_keyPerson('FedEx_Freight', 'Frederick_W._Smith') 1.0"", ""not_keyPerson('FedEx_Ground', 'Frederick_W._Smith') 1.0""]"
57,"['Fidelity_Investments', 'Abigail_Johnson']","[""keyPerson('Fidelity_Investments', 'Abigail_Johnson') 1.0""]","[""not_keyPerson('Fidelity_Investments', 'Abigail_Johnson') 1.0""]"
58,"['Ford_Motor_Company', 'Mark_Fields_(businessman)']","[""keyPerson('Ford_Motor_Company', 'Mark_Fields_(businessman)') 1.0""]","[""not_keyPerson('Ford_Motor_Company', 'Mark_Fields_(businessman)') 1.0""]"
59,"['Foxconn', 'Terry_Gou']","[""keyPerson('Foxconn', 'Terry_Gou') 1.0""]","[""not_keyPerson('Foxconn', 'Terry_Gou') 1.0""]"
61,"['General_Dynamics', 'Phebe_Novakovic']","[""keyPerson('General_Dynamics', 'Phebe_Novakovic') 1.0""]","[""not_keyPerson('General_Dynamics', 'Phebe_Novakovic') 1.0""]"
62,"['General_Electric', 'Jeffrey_R._Immelt']","[""keyPerson('General_Electric_Company_plc', 'Jeffrey_R._Immelt') 1.0"", ""keyPerson('General_Electric', 'Jeffrey_R._Immelt') 1.0""]","[""not_keyPerson('General_Electric', 'Jeffrey_R._Immelt') 1.0""]"
64,"['GlaxoSmithKline', 'Andrew_Witty']","[""keyPerson('GlaxoSmithKline', 'Andrew_Witty') 1.0"", ""keyPerson('GlaxoSmithKline', 'Sir_Andrew_Witty') 1.0""]","[""not_keyPerson('GlaxoSmithKline', 'Andrew_Witty') 1.0"", ""not_keyPerson('GlaxoSmithKline', 'Sir_Andrew_Witty') 1.0""]"
112,"['Global_Telecom_Holding', 'Naguib_Sawiris']",[],"[""not_keyPerson('Global_Telecom_Holding', 'Naguib_Sawiris') 1.0""]"
67,"['GMA_Network', 'Felipe_Gozon']","[""keyPerson('GMA_Network_(company)', 'Felipe_Gozon') 1.0"", ""keyPerson('GMA_Network', 'Felipe_Gozon') 1.0""]","[""not_keyPerson('GMA_Network_(company)', 'Felipe_Gozon') 1.0"", ""not_keyPerson('GMA_Network', 'Felipe_Gozon') 1.0"", ""not_keyPerson('Felipe_Gozon__1', 'GMA_Network_(company)') 1.0""]"
68,"['GMR_Group', 'Grandhi_Mallikarjuna_Rao']","[""keyPerson('GMR_Group', 'Grandhi_Mallikarjuna_Rao') 1.0""]","[""not_keyPerson('GMR_Group', 'Grandhi_Mallikarjuna_Rao') 1.0""]"
65,"['Goldman_Sachs', 'Lloyd_Blankfein']","[""keyPerson('Goldman_Sachs', 'Lloyd_Blankfein') 1.0""]","[""not_keyPerson('Goldman_Sachs', 'Lloyd_Blankfein') 1.0""]"
66,"['Google', 'Larry_Page']","[""keyPerson('Google', 'Larry_Page') 1.0""]","[""not_keyPerson('Google_Capital', 'Larry_Page') 1.0"", ""not_keyPerson('Google', 'Larry_Page') 1.0"", ""not_keyPerson('Google_Fiber', 'Larry_Page') 1.0""]"
192,"['Graham_Holdings_Company', 'Donald_E._Graham']","[""keyPerson('Graham_Holdings_Company', 'Donald_E._Graham') 1.0""]","[""not_keyPerson('Graham_Holdings_Company', 'Donald_E._Graham') 1.0""]"
71,"['Halliburton', 'David_J._Lesar']","[""keyPerson('Halliburton', 'David_J._Lesar') 1.0""]","[""not_keyPerson('Halliburton', 'David_J._Lesar') 1.0""]"
72,"['HCL_Technologies', 'Anant_Gupta']","[""keyPerson('HCL_Technologies', 'Anant_Gupta') 1.0""]","[""not_keyPerson('HCL_Technologies', 'Anant_Gupta') 1.0""]"
74,"['Hindalco_Industries', 'Kumar_Mangalam_Birla']","[""keyPerson('Hindalco_Industries', 'Kumar_Mangalam_Birla') 1.0""]","[""not_keyPerson('Hindalco_Industries', 'Kumar_Mangalam_Birla') 1.0""]"
76,"['HSBC', 'Stuart_Gulliver']","[""keyPerson('HSBC_Bank_Malaysia', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Finance', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Bank_India', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Mexico', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Bank_(Europe)', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Bank_Middle_East', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Bank_USA', 'Stuart_Gulliver') 1.0""]","[""not_keyPerson('HSBC_Bank_Malaysia', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Finance', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Bank_India', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Bank_(Europe)', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Bank_Middle_East', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Mexico', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Bank_USA', 'Stuart_Gulliver') 1.0""]"
77,"['IGATE', 'Ashok_Vemuri']","[""keyPerson('IGATE', 'Ashok_Vemuri') 1.0""]","[""not_keyPerson('IGATE', 'Ashok_Vemuri') 1.0""]"
79,"['Infosys', 'Vishal_Sikka']","[""keyPerson('Infosys_BPO_Limited', 'Vishal_Sikka') 1.0"", ""keyPerson('Infosys', 'Vishal_Sikka') 1.0""]","[""not_keyPerson('Infosys', 'Vishal_Sikka') 1.0"", ""not_keyPerson('Infosys_BPO_Limited', 'Vishal_Sikka') 1.0""]"
80,"['Intel', 'Brian_Krzanich']","[""keyPerson('Intel', 'Brian_Krzanich') 1.0""]","[""not_keyPerson('Intel', 'Brian_Krzanich') 1.0""]"
84,"['Kaplan,_Inc.', 'Andrew_S._Rosen']","[""keyPerson('Kaplan,_Inc.', 'Andrew_S._Rosen') 1.0""]","[""not_keyPerson('Kaplan,_Inc.', 'Andrew_S._Rosen') 1.0""]"
85,"['Kingdom_Holding_Company', 'Al-Waleed_bin_Talal']","[""keyPerson('Kingdom_Holding_Company', 'Al-Waleed_bin_Talal') 1.0""]","[""not_keyPerson('Kingdom_Holding_Company', 'Al-Waleed_bin_Talal') 1.0""]"
87,"['Lanco_Infratech', 'Madhusudhan_Rao_Lagadapati']","[""keyPerson('Lanco_Infratech', 'Madhusudhan_Rao_Lagadapati') 1.0""]","[""not_keyPerson('Lanco_Infratech', 'Madhusudhan_Rao_Lagadapati') 1.0""]"
88,"['Las_Vegas_Sands', 'Sheldon_Adelson']","[""keyPerson('Las_Vegas_Sands', 'Sheldon_Adelson') 1.0""]","[""not_keyPerson('Las_Vegas_Sands', 'Sheldon_Adelson') 1.0""]"
35,"['Cisco_Systems', 'John_T._Chambers']","[""keyPerson('Cisco_Systems', 'John_T._Chambers') 1.0""]","[""not_keyPerson('List_of_acquisitions_by_Cisco_Systems', 'John_T._Chambers') 1.0"", ""not_keyPerson('Cisco_Systems', 'John_T._Chambers') 1.0""]"
73,"['Hewlett-Packard', 'Meg_Whitman']","[""keyPerson('Hewlett-Packard', 'Meg_Whitman') 1.0""]","[""not_keyPerson('List_of_acquisitions_by_Hewlett-Packard', 'Meg_Whitman') 1.0"", ""not_keyPerson('Hewlett-Packard', 'Meg_Whitman') 1.0""]"
199,"['Yahoo!', 'Marissa_Mayer']","[""keyPerson('Yahoo!', 'Marissa_Mayer') 1.0""]","[""not_keyPerson('List_of_acquisitions_by_Yahoo!', 'Marissa_Mayer') 1.0"", ""not_keyPerson('Yahoo!', 'Marissa_Mayer') 1.0""]"
37,"['The_Coca-Cola_Company', 'Muhtar_Kent']","[""keyPerson('The_Coca-Cola_Company', 'Muhtar_Kent') 1.0""]","[""not_keyPerson('List_of_assets_owned_by_The_Coca-Cola_Company', 'Muhtar_Kent') 1.0"", ""not_keyPerson('The_Coca-Cola_Company', 'Muhtar_Kent') 1.0""]"
163,"['Time_Warner', 'Jeff_Bewkes']","[""keyPerson('Time_Warner', 'Jeff_Bewkes') 1.0""]","[""not_keyPerson('List_of_assets_owned_by_Time_Warner', 'Jeff_Bewkes') 1.0"", ""not_keyPerson('Time_Warner', 'Jeff_Bewkes') 1.0""]"
89,"['Lockheed_Martin', 'Marillyn_Hewson']","[""keyPerson('Lockheed_Martin', 'Marillyn_Hewson') 1.0""]","[""not_keyPerson('Lockheed_Martin_Canada', 'Marillyn_Hewson') 1.0"", ""not_keyPerson('Lockheed_Martin', 'Marillyn_Hewson') 1.0"", ""not_keyPerson('Lockheed_Martin_UK', 'Marillyn_Hewson') 1.0""]"
90,"['Manchester_United_F.C.', 'David_Gill_(executive)']",[],"[""not_keyPerson('Manchester_United_F.C.', 'David_Gill_(executive)') 1.0""]"
91,"['Mercedes-Benz', 'Dieter_Zetsche']","[""keyPerson('Mercedes-Benz', 'Dieter_Zetsche') 1.0""]","[""not_keyPerson('Mercedes-Benz', 'Dieter_Zetsche') 1.0""]"
92,"['Merrill_Lynch', 'John_Thain']","[""keyPerson('Merrill_Lynch', 'John_Thain') 1.0"", ""keyPerson('Bank_of_America_Merrill_Lynch', 'John_Thain') 1.0""]","[""not_keyPerson('Merrill_Lynch', 'John_Thain') 1.0"", ""not_keyPerson('Bank_of_America_Merrill_Lynch', 'John_Thain') 1.0""]"
43,"['Dell', 'Michael_Dell']","[""keyPerson('Michael_Dell', 'Michael_Dell') 1.0"", ""keyPerson('Dell', 'Michael_Dell') 1.0"", ""keyPerson('Silver_Lake_Partners', 'Michael_Dell') 1.0"", ""keyPerson('Michael_Dell', 'Roger_McNamee') 1.0"", ""keyPerson('Michael_Dell', 'Glenn_Hutchins') 1.0"", ""keyPerson('Dell_Technologies', 'Michael_Dell') 1.0"", ""keyPerson('Michael_Dell__1', 'Michael_Dell') 1.0""]","[""not_keyPerson('Michael_Dell', 'Dell') 1.0"", ""not_keyPerson('Pivotal_Software', 'Michael_Dell') 1.0"", ""not_keyPerson('Silver_Lake_Partners', 'Michael_Dell') 1.0"", ""not_keyPerson('Michael_Dell__1', 'Dell') 1.0"", ""not_keyPerson('SecureWorks', 'Michael_Dell') 1.0"", ""not_keyPerson('Dell', 'Michael_Dell') 1.0"", ""not_keyPerson('VMware', 'Michael_Dell') 1.0"", ""not_keyPerson('Dell_Technologies', 'Michael_Dell') 1.0""]"
95,"['Microsoft', 'Satya_Nadella']","[""keyPerson('Microsoft', 'Satya_Nadella') 1.0"", ""keyPerson('Microsoft_Mobile', 'Satya_Nadella') 1.0"", ""keyPerson('Microsoft_Corporation', 'Satya_Nadella') 1.0"", ""keyPerson('Microsoft_Redmond_campus', 'Satya_Nadella') 1.0""]","[""not_keyPerson('Microsoft_Developer_Network', 'Satya_Nadella') 1.0"", ""not_keyPerson('Microsoft_TechNet', 'Satya_Nadella') 1.0"", ""not_keyPerson('Microsoft_Mobile', 'Satya_Nadella') 1.0"", ""not_keyPerson('List_of_mergers_and_acquisitions_by_Microsoft', 'Satya_Nadella') 1.0"", ""not_keyPerson('Microsoft_Redmond_campus', 'Satya_Nadella') 1.0""]"
97,"['Mindtree', 'Krishnakumar_Natarajan']","[""keyPerson('Mindtree', 'Krishnakumar_Natarajan') 1.0""]","[""not_keyPerson('Mindtree', 'Krishnakumar_Natarajan') 1.0""]"
98,"['Morgan_Stanley', 'James_P._Gorman']","[""keyPerson('Morgan_Stanley', 'James_P._Gorman') 1.0"", ""keyPerson('Morgan_Stanley_Building', 'James_P._Gorman') 1.0""]","[""not_keyPerson('Morgan_Stanley_Building', 'James_P._Gorman') 1.0"", ""not_keyPerson('Morgan_Stanley', 'James_P._Gorman') 1.0""]"
70,"['Mossy_Oak', 'Toxey_Haas']","[""keyPerson('Mossy_Oak', 'Toxey_Haas') 1.0""]","[""not_keyPerson('Mossy_Oak', 'Toxey_Haas') 1.0""]"
99,"['Motorola', 'Greg_Brown_(businessman)']","[""keyPerson('Motorola_Solutions', 'Greg_Brown_(businessman)') 1.0"", ""keyPerson('Motorola_Mobility', 'Greg_Brown_(businessman)') 1.0"", ""keyPerson('Motorola', 'Greg_Brown_(businessman)') 1.0""]","[""not_keyPerson('Motorola_Mobility', 'Greg_Brown_(businessman)') 1.0""]"
100,"['Mozilla', 'Mitchell_Baker']","[""keyPerson('Mozilla', 'Mitchell_Baker') 1.0"", ""keyPerson('Mozilla_Corporation', 'Mitchell_Baker') 1.0"", ""keyPerson('Mozilla_Foundation', 'Mitchell_Baker') 1.0""]","[""not_keyPerson('Mozilla', 'Mitchell_Baker') 1.0"", ""not_keyPerson('Mozilla_Corporation', 'Mitchell_Baker') 1.0""]"
101,"['Nation_Media_Group', 'Wilfred_Kiboro']","[""keyPerson('Nation_Media_Group', 'Wilfred_Kiboro') 1.0""]","[""not_keyPerson('Nation_Media_Group', 'Wilfred_Kiboro') 1.0""]"
102,"['National_Amusements', 'Sumner_Redstone']","[""keyPerson('National_Amusements', 'Sumner_Redstone') 1.0""]","[""not_keyPerson('National_Amusements', 'Sumner_Redstone') 1.0""]"
103,"['NBCUniversal', 'Jeff_Zucker']","[""keyPerson('NBCUniversal', 'Jeff_Zucker') 1.0"", ""keyPerson('NBCUniversal_Television_Group', 'Jeff_Zucker') 1.0""]","[""not_keyPerson('NBCUniversal', 'Jeff_Zucker') 1.0"", ""not_keyPerson('Jeff_Zucker__1', 'NBCUniversal Television Group') 1.0"", ""not_keyPerson('NBCUniversal_Television_Group', 'Jeff_Zucker') 1.0"", ""not_keyPerson('NBCUniversal_Entertainment_Japan', 'Jeff_Zucker') 1.0"", ""not_keyPerson('NBCUniversal Telemundo Enterprises', 'Jeff_Zucker') 1.0""]"
105,"['NIIT', 'Vijay_K._Thadani']","[""keyPerson('NIIT', 'Vijay_K._Thadani') 1.0""]","[""not_keyPerson('NIIT', 'Vijay_K._Thadani') 1.0""]"
110,"['Nintendo', 'Satoru_Iwata']","[""keyPerson('Nintendo_Network_Service_Database', 'Satoru_Iwata') 1.0"", ""keyPerson('Nintendo_Entertainment_Planning_&_Development', 'Satoru_Iwata') 1.0"", ""keyPerson('Nintendo', 'Satoru_Iwata') 1.0"", ""keyPerson('Nintendo_Software_Technology', 'Satoru_Iwata') 1.0"", ""keyPerson('Nintendo_Platform_Technology_Development', 'Satoru_Iwata') 1.0"", ""keyPerson('Nintendo_European_Research_&_Development', 'Satoru_Iwata') 1.0""]","[""not_keyPerson('Nintendo_European_Research_&_Development', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Nintendo_Entertainment_Planning_&_Development', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Nintendo_Software_Technology', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Nintendo', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Nintendo_Network_Service_Database', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Nintendo_Platform_Technology_Development', 'Satoru_Iwata') 1.0""]"
107,"['Nokia', 'Rajeev_Suri']","[""keyPerson('Nokia_Networks', 'Rajeev_Suri') 1.0"", ""keyPerson('Nokia', 'Rajeev_Suri') 1.0""]","[""not_keyPerson('Nokia_Networks', 'Rajeev_Suri') 1.0"", ""not_keyPerson('Nokia_Technologies', 'Rajeev_Suri') 1.0"", ""not_keyPerson('Nokia_Bell_Labs', 'Rajeev_Suri') 1.0""]"
108,"['Nortel', 'Mike_S._Zafirovski']","[""keyPerson('Nortel', 'Mike_S._Zafirovski') 1.0""]","[""not_keyPerson('Nortel', 'Mike_S._Zafirovski') 1.0""]"
109,"['Novartis', 'Daniel_Vasella']","[""keyPerson('Novartis', 'Daniel_Vasella') 1.0""]","[""not_keyPerson('Novartis', 'Daniel_Vasella') 1.0""]"
111,"['Oracle_Corporation', 'Larry_Ellison']","[""keyPerson('Oracle_Corporation', 'Larry_Ellison') 1.0""]","[""not_keyPerson('Oracle_Corporation', 'Larry_Ellison') 1.0""]"
113,"['Outback_Steakhouse', 'Chris_T._Sullivan']","[""keyPerson('Outback_Steakhouse', 'Chris_T._Sullivan') 1.0""]","[""not_keyPerson('Outback_Steakhouse', 'Chris_T._Sullivan') 1.0""]"
114,"['PepsiCo', 'Indra_Nooyi']","[""keyPerson('PepsiCo', 'Indra_Nooyi') 1.0""]","[""not_keyPerson('PepsiCo', 'Indra_Nooyi') 1.0"", ""not_keyPerson('List_of_assets_owned_by_PepsiCo', 'Indra_Nooyi') 1.0""]"
115,"['Pizza_Hut', 'David_C._Novak']","[""keyPerson('Pizza_Hut', 'David_C._Novak') 1.0""]","[""not_keyPerson('Pizza_Hut', 'David_C._Novak') 1.0""]"
