id,test,False Negative,True Negative
805,"['Qwest', 'Al-Waleed_bin_Talal']","[""keyPerson('Al-Waleed_bin_Talal', 'Qwest_Corporation') 1.0"", ""keyPerson('Al-Waleed_bin_Talal', 'Qwest') 1.0"", ""keyPerson('Al-Waleed_bin_Talal__1', 'Qwest') 1.0"", ""keyPerson('Qwest', 'Al-Waleed_bin_Talal') 1.0"", ""keyPerson('Al-Waleed_bin_Talal__1', 'Qwest_Corporation') 1.0"", ""keyPerson('Qwest_Corporation', 'Al-Waleed_bin_Talal') 1.0"", ""keyPerson('Qwest_Wireless', 'Al-Waleed_bin_Talal') 1.0""]","[""not_keyPerson('Al-Waleed_bin_Talal', 'Qwest_Corporation') 1.0"", ""not_keyPerson('Al-Waleed_bin_Talal__1', 'Qwest') 1.0"", ""not_keyPerson('Al-Waleed_bin_Talal__1', 'Qwest_Corporation') 1.0"", ""not_keyPerson('Qwest', 'Al-Waleed_bin_Talal') 1.0"", ""not_keyPerson('Al-Waleed_bin_Talal', 'Qwest') 1.0"", ""not_keyPerson('Qwest_Corporation', 'Al-Waleed_bin_Talal') 1.0"", ""not_keyPerson('Qwest_Wireless', 'Al-Waleed_bin_Talal') 1.0""]"
1152,"['Warner_Bros.', 'Alan_Joyce_(executive)']","[""keyPerson('Alan_Joyce_(executive)__1', 'Warner_Bros.') 1.0"", ""keyPerson('Warner_Bros.', 'Alan_Joyce_(executive)') 1.0"", ""keyPerson('Alan_Joyce_(executive)__1', 'Warner_Bros._Cartoons') 1.0"", ""keyPerson('Warner_Bros._Animation', 'Alan_Joyce_(executive)') 1.0"", ""keyPerson('Warner_Bros._Television', 'Alan_Joyce_(executive)') 1.0"", ""keyPerson('Warner_Bros._Interactive_Entertainment', 'Alan_Joyce_(executive)') 1.0"", ""keyPerson('Warner_Bros._International_Television', 'Alan_Joyce_(executive)') 1.0"", ""keyPerson('Warner_Bros._Cartoons', 'Alan_Joyce_(executive)') 1.0"", ""keyPerson('Alan_Joyce_(executive)__1', 'Warner_Bros._Animation') 1.0""]","[""not_keyPerson('Alan_Joyce_(executive)__1', 'Warner_Bros.') 1.0"", ""not_keyPerson('Warner_Bros.', 'Alan_Joyce_(executive)') 1.0"", ""not_keyPerson('Alan_Joyce_(executive)__1', 'Warner_Bros._Cartoons') 1.0"", ""not_keyPerson('Warner_Bros._Animation', 'Alan_Joyce_(executive)') 1.0"", ""not_keyPerson('Warner_Bros._Television', 'Alan_Joyce_(executive)') 1.0"", ""not_keyPerson('Alan_Joyce_(executive)__1', 'Warner_Bros._Animation') 1.0"", ""not_keyPerson('Alan_Joyce_(executive)', 'Warner_Bros._Cartoons') 1.0"", ""not_keyPerson('Alan_Joyce_(executive)', 'Warner_Bros._Animation') 1.0"", ""not_keyPerson('Warner_Bros._Interactive_Entertainment', 'Alan_Joyce_(executive)') 1.0"", ""not_keyPerson('Alan_Joyce_(executive)', 'Warner_Bros.') 1.0"", ""not_keyPerson('Warner_Bros._Cartoons', 'Alan_Joyce_(executive)') 1.0"", ""not_keyPerson('Warner_Bros._International_Television', 'Alan_Joyce_(executive)') 1.0""]"
233,"['Alcatel-Lucent', 'Anshu_Jain']","[""keyPerson('Alcatel-Lucent', 'Anshu_Jain') 1.0""]","[""not_keyPerson('Alcatel-Lucent', 'Anshu_Jain') 1.0""]"
236,"['Alcatel-Lucent', 'Ashok_Vemuri']","[""keyPerson('Alcatel-Lucent', 'Ashok_Vemuri') 1.0""]","[""not_keyPerson('Alcatel-Lucent', 'Ashok_Vemuri') 1.0""]"
232,"['Alcatel-Lucent', 'Jeff_Zucker']","[""keyPerson('Alcatel-Lucent', 'Jeff_Zucker') 1.0""]","[""not_keyPerson('Alcatel-Lucent', 'Jeff_Zucker') 1.0""]"
235,"['Alcatel-Lucent', 'Larry_Page']","[""keyPerson('Alcatel-Lucent', 'Larry_Page') 1.0""]","[""not_keyPerson('Alcatel-Lucent', 'Larry_Page') 1.0""]"
237,"['Alcoa', 'Felipe_Gozon']","[""keyPerson('Alcoa', 'Felipe_Gozon') 1.0""]","[""not_keyPerson('Alcoa', 'Felipe_Gozon') 1.0""]"
238,"['Alcoa', 'Frederick_W._Smith']","[""keyPerson('Alcoa', 'Frederick_W._Smith') 1.0""]","[""not_keyPerson('Alcoa', 'Frederick_W._Smith') 1.0""]"
239,"['Alcoa', 'Sumner_Redstone']","[""keyPerson('Alcoa', 'Sumner_Redstone') 1.0""]","[""not_keyPerson('Alcoa', 'Sumner_Redstone') 1.0""]"
229,"['Alliance_Boots', 'Bob_Iger']","[""keyPerson('Alliance_Boots', 'Bob_Iger') 1.0""]","[""not_keyPerson('Bob_Iger__1', 'Alliance_Boots') 1.0"", ""not_keyPerson('Bob_Iger', 'Alliance_Boots') 1.0"", ""not_keyPerson('Alliance_Boots', 'Bob_Iger') 1.0""]"
228,"['Alliance_Boots', 'David_Thodey']","[""keyPerson('Alliance_Boots', 'David_Thodey') 1.0""]","[""not_keyPerson('David_Thodey', 'Alliance_Boots') 1.0"", ""not_keyPerson('Alliance_Boots', 'David_Thodey') 1.0"", ""not_keyPerson('David_Thodey__1', 'Alliance_Boots') 1.0""]"
231,"['Alliance_Boots', 'Frederick_W._Smith']","[""keyPerson('Alliance_Boots', 'Frederick_W._Smith') 1.0""]","[""not_keyPerson('Alliance_Boots', 'Frederick_W._Smith') 1.0""]"
230,"['Alliance_Boots', 'Julia_Stewart_(businesswoman)']","[""keyPerson('Alliance_Boots', 'Julia_Stewart_(businesswoman)') 1.0""]","[""not_keyPerson('Julia_Stewart_(businesswoman)__1', 'Alliance_Boots') 1.0"", ""not_keyPerson('Alliance_Boots', 'Julia_Stewart_(businesswoman)') 1.0""]"
227,"['Alliance_Boots', 'Randall_L._Stephenson']","[""keyPerson('Alliance_Boots', 'Randall_L._Stephenson') 1.0""]","[""not_keyPerson('Randall_L._Stephenson', 'Alliance_Boots') 1.0"", ""not_keyPerson('Alliance_Boots', 'Randall_L._Stephenson') 1.0""]"
244,"['Amazon.com', 'Donald_E._Graham']","[""keyPerson('Amazon.com,_Inc.', 'Donald_E._Graham') 1.0"", ""keyPerson('Donald_E._Graham__1', 'Amazon.com') 1.0"", ""keyPerson('Amazon.com', 'Donald_E._Graham') 1.0""]","[""not_keyPerson('Amazon.com,_Inc.', 'Donald_E._Graham') 1.0"", ""not_keyPerson('Donald_E._Graham', 'Amazon.com') 1.0"", ""not_keyPerson('Donald_E._Graham__1', 'Amazon.com') 1.0"", ""not_keyPerson('Amazon.com', 'Donald_E._Graham') 1.0""]"
241,"['Amazon.com', 'David_M._Cote']","[""keyPerson('Amazon.com', 'David_M._Cote') 1.0"", ""keyPerson('Amazon.com,_Inc.', 'David_M._Cote') 1.0""]","[""not_keyPerson('Amazon.com', 'David_M._Cote') 1.0"", ""not_keyPerson('David_M._Cote', 'Amazon.com') 1.0"", ""not_keyPerson('Amazon.com,_Inc.', 'David_M._Cote') 1.0""]"
243,"['Amazon.com', 'Gordon_Nixon']","[""keyPerson('Amazon.com', 'Gordon_Nixon') 1.0"", ""keyPerson('Amazon.com,_Inc.', 'Gordon_Nixon') 1.0"", ""keyPerson('Gordon_Nixon__1', 'Amazon.com') 1.0""]","[""not_keyPerson('Amazon.com', 'Gordon_Nixon') 1.0"", ""not_keyPerson('Amazon.com,_Inc.', 'Gordon_Nixon') 1.0"", ""not_keyPerson('Gordon_Nixon__1', 'Amazon.com') 1.0"", ""not_keyPerson('Gordon_Nixon', 'Amazon.com') 1.0""]"
242,"['Amazon.com', 'Vince_McMahon']","[""keyPerson('Amazon.com', 'Vince_McMahon') 1.0"", ""keyPerson('Vince_McMahon__1', 'Amazon.com') 1.0"", ""keyPerson('Amazon.com,_Inc.', 'Vince_McMahon') 1.0"", ""keyPerson('Amazon.com', 'Vince_McMahon_Sr.') 1.0"", ""keyPerson('Amazon.com,_Inc.', 'Vince_McMahon_Sr.') 1.0"", ""keyPerson('Vince_McMahon_Sr.__1', 'Amazon.com') 1.0""]","[""not_keyPerson('Amazon.com', 'Vince_McMahon') 1.0"", ""not_keyPerson('Vince_McMahon__1', 'Amazon.com') 1.0"", ""not_keyPerson('Amazon.com,_Inc.', 'Vince_McMahon') 1.0"", ""not_keyPerson('Vince_McMahon', 'Amazon.com') 1.0"", ""not_keyPerson('Amazon.com', 'Vince_McMahon_Sr.') 1.0"", ""not_keyPerson('Amazon.com,_Inc.', 'Vince_McMahon_Sr.') 1.0"", ""not_keyPerson('Vince_McMahon_Sr.', 'Amazon.com') 1.0"", ""not_keyPerson('Vince_McMahon_Sr.__1', 'Amazon.com') 1.0""]"
257,"['American_Airlines_Group', 'Mike_S._Zafirovski']","[""keyPerson('American_Airlines_Group', 'Mike_S._Zafirovski') 1.0""]","[""not_keyPerson('American_Airlines_Group', 'Mike_S._Zafirovski') 1.0"", ""not_keyPerson('Mike_S._Zafirovski', 'American_Airlines_Group') 1.0""]"
259,"['American_Airlines_Group', 'Satya_Nadella']","[""keyPerson('American_Airlines_Group', 'Satya_Nadella') 1.0"", ""keyPerson('Satya_Nadella__1', 'American_Airlines_Group') 1.0""]","[""not_keyPerson('Satya_Nadella__1', 'American_Airlines_Group') 1.0"", ""not_keyPerson('American_Airlines_Group', 'Satya_Nadella') 1.0"", ""not_keyPerson('Satya_Nadella', 'American_Airlines_Group') 1.0""]"
643,"['Manchester_United_F.C.', 'Andrew_S._Rosen']","[""keyPerson('Andrew_S._Rosen__1', 'Manchester_United_F.C.') 1.0"", ""keyPerson('Manchester_United_F.C.', 'Andrew_S._Rosen') 1.0""]","[""not_keyPerson('Andrew_S._Rosen__1', 'Manchester_United_F.C.') 1.0"", ""not_keyPerson('Manchester_United_F.C.', 'Andrew_S._Rosen') 1.0"", ""not_keyPerson('Andrew_S._Rosen', 'Manchester_United_F.C.') 1.0""]"
264,"['AOL', 'Diego_Della_Valle']","[""keyPerson('AOL', 'Diego_Della_Valle') 1.0""]","[""not_keyPerson('AOL', 'Diego_Della_Valle') 1.0""]"
260,"['AOL', 'Meg_Whitman']","[""keyPerson('AOL', 'Meg_Whitman') 1.0""]","[""not_keyPerson('AOL', 'Meg_Whitman') 1.0""]"
262,"['AOL', 'Rex_Tillerson']","[""keyPerson('AOL', 'Rex_Tillerson') 1.0""]","[""not_keyPerson('AOL', 'Rex_Tillerson') 1.0""]"
266,"['Apple_Inc.', 'Andrew_Witty']","[""keyPerson('Apple_Inc.', 'Andrew_Witty') 1.0"", ""keyPerson('Apple_Inc.', 'Sir_Andrew_Witty') 1.0""]","[""not_keyPerson('Apple_Inc.', 'Andrew_Witty') 1.0"", ""not_keyPerson('Apple_Inc.', 'Sir_Andrew_Witty') 1.0""]"
267,"['Apple_Inc.', 'Daniel_Vasella']","[""keyPerson('Apple_Inc.', 'Daniel_Vasella') 1.0""]","[""not_keyPerson('Apple_Inc.', 'Daniel_Vasella') 1.0""]"
269,"['Apple_Inc.', 'Gunupati_Venkata_Krishna_Reddy']","[""keyPerson('Apple_Inc.', 'Gunupati_Venkata_Krishna_Reddy') 1.0""]","[""not_keyPerson('Apple_Inc.', 'Gunupati_Venkata_Krishna_Reddy') 1.0""]"
268,"['Apple_Inc.', 'John_Donahoe']","[""keyPerson('Apple_Inc.', 'John_Donahoe') 1.0""]","[""not_keyPerson('Apple_Inc.', 'John_Donahoe') 1.0""]"
271,"['ArcelorMittal', 'Klaus_Kleinfeld']","[""keyPerson('ArcelorMittal', 'Klaus_Kleinfeld') 1.0"", ""keyPerson('Klaus_Kleinfeld__1', 'ArcelorMittal') 1.0""]","[""not_keyPerson('ArcelorMittal', 'Klaus_Kleinfeld') 1.0"", ""not_keyPerson('Klaus_Kleinfeld__1', 'ArcelorMittal') 1.0"", ""not_keyPerson('Klaus_Kleinfeld', 'ArcelorMittal') 1.0""]"
273,"['ArcelorMittal', 'Richard_Notebaert']","[""keyPerson('ArcelorMittal', 'Richard_Notebaert') 1.0"", ""keyPerson('Richard_Notebaert__1', 'ArcelorMittal') 1.0""]","[""not_keyPerson('Richard_Notebaert', 'ArcelorMittal') 1.0"", ""not_keyPerson('ArcelorMittal', 'Richard_Notebaert') 1.0"", ""not_keyPerson('Richard_Notebaert__1', 'ArcelorMittal') 1.0""]"
206,"['Accenture', 'Ashok_Vemuri']","[""keyPerson('Ashok_Vemuri__1', 'Accenture') 1.0"", ""keyPerson('Accenture', 'Ashok_Vemuri') 1.0""]","[""not_keyPerson('Ashok_Vemuri__1', 'Accenture') 1.0"", ""not_keyPerson('Accenture', 'Ashok_Vemuri') 1.0"", ""not_keyPerson('Ashok_Vemuri', 'Accenture') 1.0""]"
1189,"['WWE', 'Ashok_Vemuri']","[""keyPerson('Ashok_Vemuri__1', 'WWE') 1.0"", ""keyPerson('WWE', 'Ashok_Vemuri') 1.0""]","[""not_keyPerson('Ashok_Vemuri__1', 'WWE') 1.0"", ""not_keyPerson('WWE', 'Ashok_Vemuri') 1.0"", ""not_keyPerson('Ashok_Vemuri', 'WWE') 1.0""]"
276,"['AT&T', 'Norbert_Reithofer']","[""keyPerson('AT&T_Corporation', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T_Sports_Networks', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T_Communications', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T_Mexico', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T_Digital_Life', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T_Inc.', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T_Corp.', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T_U-verse', 'Norbert_Reithofer') 1.0"", ""keyPerson('AT&T_Mobility', 'Norbert_Reithofer') 1.0""]","[""not_keyPerson('AT&T_Corporation', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('AT&T_Sports_Networks', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('AT&T_Mobility', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('Norbert_Reithofer', 'AT&T_Mexico') 1.0"", ""not_keyPerson('AT&T_Corp.', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('Norbert_Reithofer', 'AT&T_Corporation') 1.0"", ""not_keyPerson('AT&T_Mexico', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('AT&T_Digital_Life', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('AT&T', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('Norbert_Reithofer', 'AT&T') 1.0"", ""not_keyPerson('AT&T_Communications', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('AT&T_Inc.', 'Norbert_Reithofer') 1.0"", ""not_keyPerson('AT&T_U-verse', 'Norbert_Reithofer') 1.0""]"
277,"['AT&T', 'Philippe_Dauman']","[""keyPerson('AT&T_Mobility', 'Philippe_Dauman') 1.0"", ""keyPerson('Philippe_Dauman__1', 'AT&T_Mexico') 1.0"", ""keyPerson('AT&T_Corporation', 'Philippe_Dauman') 1.0"", ""keyPerson('AT&T_Inc.', 'Philippe_Dauman') 1.0"", ""keyPerson('Philippe_Dauman__1', 'AT&T_Corporation') 1.0"", ""keyPerson('AT&T_Communications', 'Philippe_Dauman') 1.0"", ""keyPerson('AT&T', 'Philippe_Dauman') 1.0"", ""keyPerson('Philippe_Dauman__1', 'AT&T') 1.0"", ""keyPerson('AT&T_Digital_Life', 'Philippe_Dauman') 1.0"", ""keyPerson('AT&T_U-verse', 'Philippe_Dauman') 1.0"", ""keyPerson('AT&T_Mexico', 'Philippe_Dauman') 1.0"", ""keyPerson('AT&T_Corp.', 'Philippe_Dauman') 1.0"", ""keyPerson('AT&T_Sports_Networks', 'Philippe_Dauman') 1.0""]","[""not_keyPerson('Philippe_Dauman', 'AT&T_Mexico') 1.0"", ""not_keyPerson('AT&T_Mobility', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Philippe_Dauman__1', 'AT&T_Mexico') 1.0"", ""not_keyPerson('AT&T_Corporation', 'Philippe_Dauman') 1.0"", ""not_keyPerson('AT&T_Inc.', 'Philippe_Dauman') 1.0"", ""not_keyPerson('AT&T_Communications', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Philippe_Dauman__1', 'AT&T') 1.0"", ""not_keyPerson('AT&T_Digital_Life', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Philippe_Dauman', 'AT&T_Corporation') 1.0"", ""not_keyPerson('AT&T_U-verse', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Philippe_Dauman__1', 'AT&T_Corporation') 1.0"", ""not_keyPerson('AT&T_Mexico', 'Philippe_Dauman') 1.0"", ""not_keyPerson('AT&T', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Philippe_Dauman', 'AT&T') 1.0"", ""not_keyPerson('AT&T_Corp.', 'Philippe_Dauman') 1.0"", ""not_keyPerson('AT&T_Sports_Networks', 'Philippe_Dauman') 1.0""]"
283,"['BAE_Systems', 'Brian_Krzanich']","[""keyPerson('BAE_Systems_Inc.', 'Brian_Krzanich') 1.0"", ""keyPerson('BAE_Systems_Detica', 'Brian_Krzanich') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'Brian_Krzanich') 1.0"", ""keyPerson('BAE_Systems_plc', 'Brian_Krzanich') 1.0"", ""keyPerson('BAE_Systems_Electronics,_Intelligence_&_Support', 'Brian_Krzanich') 1.0"", ""keyPerson('Brian_Krzanich__1', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('BAE_Systems', 'Brian_Krzanich') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Brian_Krzanich') 1.0"", ""keyPerson('BAE_Systems_Land_&_Armaments', 'Brian_Krzanich') 1.0"", ""keyPerson('BAE_Systems_Australia', 'Brian_Krzanich') 1.0"", ""keyPerson('Brian_Krzanich__1', 'BAE_Systems') 1.0""]","[""not_keyPerson('BAE_Systems_Inc.', 'Brian_Krzanich') 1.0"", ""not_keyPerson('BAE_Systems_Detica', 'Brian_Krzanich') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Brian_Krzanich') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Brian_Krzanich') 1.0"", ""not_keyPerson('Brian_Krzanich', 'BAE_Systems') 1.0"", ""not_keyPerson('BAE_Systems_plc', 'Brian_Krzanich') 1.0"", ""not_keyPerson('BAE_Systems_Electronics,_Intelligence_&_Support', 'Brian_Krzanich') 1.0"", ""not_keyPerson('Brian_Krzanich__1', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('BAE_Systems_Land_&_Armaments', 'Brian_Krzanich') 1.0"", ""not_keyPerson('BAE_Systems', 'Brian_Krzanich') 1.0"", ""not_keyPerson('Brian_Krzanich', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Brian_Krzanich__1', 'BAE_Systems') 1.0"", ""not_keyPerson('BAE_Systems_Australia', 'Brian_Krzanich') 1.0""]"
280,"['BAE_Systems', 'Satoru_Iwata']","[""keyPerson('BAE_Systems', 'Satoru_Iwata') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Satoru_Iwata') 1.0"", ""keyPerson('Satoru_Iwata', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('BAE_Systems_plc', 'Satoru_Iwata') 1.0"", ""keyPerson('BAE_Systems_Detica', 'Satoru_Iwata') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)', 'Satoru_Iwata') 1.0"", ""keyPerson('BAE_Systems_Australia', 'Satoru_Iwata') 1.0"", ""keyPerson('BAE_Systems_Land_&_Armaments', 'Satoru_Iwata') 1.0"", ""keyPerson('Satoru_Iwata', 'BAE_Systems') 1.0"", ""keyPerson('BAE_Systems_Electronics,_Intelligence_&_Support', 'Satoru_Iwata') 1.0"", ""keyPerson('BAE_Systems_Inc.', 'Satoru_Iwata') 1.0""]","[""not_keyPerson('BAE_Systems_Australia', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Satoru_Iwata', 'BAE_Systems') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Satoru_Iwata', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)', 'Satoru_Iwata') 1.0"", ""not_keyPerson('BAE_Systems', 'Satoru_Iwata') 1.0"", ""not_keyPerson('BAE_Systems_Detica', 'Satoru_Iwata') 1.0"", ""not_keyPerson('BAE_Systems_Inc.', 'Satoru_Iwata') 1.0"", ""not_keyPerson('BAE_Systems_plc', 'Satoru_Iwata') 1.0"", ""not_keyPerson('BAE_Systems_Land_&_Armaments', 'Satoru_Iwata') 1.0"", ""not_keyPerson('BAE_Systems_Electronics,_Intelligence_&_Support', 'Satoru_Iwata') 1.0""]"
294,"['Bank_of_America', 'Daymond_John']","[""keyPerson('Bank_of_America_Merrill_Lynch', 'Daymond_John') 1.0"", ""keyPerson('Bank_of_America', 'Daymond_John') 1.0"", ""keyPerson('Bank_of_America_Home_Loans', 'Daymond_John') 1.0"", ""keyPerson('Daymond_John__1', 'Bank_of_America_Merrill_Lynch') 1.0""]","[""not_keyPerson('Daymond_John', 'Bank_of_America_Merrill_Lynch') 1.0"", ""not_keyPerson('Bank_of_America_Merrill_Lynch', 'Daymond_John') 1.0"", ""not_keyPerson('Bank_of_America', 'Daymond_John') 1.0"", ""not_keyPerson('Bank_of_America_Home_Loans', 'Daymond_John') 1.0"", ""not_keyPerson('Daymond_John__1', 'Bank_of_America_Merrill_Lynch') 1.0""]"
651,"['Merrill_Lynch', 'Howard_Schultz']","[""keyPerson('Bank_of_America_Merrill_Lynch', 'Howard_Schultz') 1.0"", ""keyPerson('Howard_Schultz__1', 'Bank_of_America_Merrill_Lynch') 1.0"", ""keyPerson('Merrill_Lynch', 'Howard_Schultz') 1.0""]","[""not_keyPerson('Howard_Schultz', 'Bank_of_America_Merrill_Lynch') 1.0"", ""not_keyPerson('Howard_Schultz__1', 'Bank_of_America_Merrill_Lynch') 1.0"", ""not_keyPerson('Merrill_Lynch', 'Howard_Schultz') 1.0"", ""not_keyPerson('Bank_of_America_Merrill_Lynch', 'Howard_Schultz') 1.0"", ""not_keyPerson('Howard_Schultz__1', 'Merrill_Lynch') 1.0""]"
