id,triples,label,lpmln hard rules -q keyPerson(True Positive),lpmln hard rules -q not_keyPerson(False Positive),asp
13,"['AOL', 'Tim_Armstrong_(executive)']",1,"[""keyPerson('AOL', 'Tim_Armstrong_(executive)') 1.0""]","[""not_keyPerson('AOL', 'Tim_Armstrong_(executive)') 1.0""]","['keyPerson(""AOL"",""Tim_Armstrong_(executive)"")', 'not_keyPerson(""AOL"",""Tim_Armstrong_(executive)"")']"
14,"['Apple_Inc.', 'Tim_Cook']",1,"[""keyPerson('Apple_Inc.', 'Tim_Cook') 1.0""]","[""not_keyPerson('Apple_Inc.', 'Tim_Cook') 1.0""]","['keyPerson(""Apple_Inc."",""Tim_Cook"")', 'not_keyPerson(""Apple_Inc."",""Tim_Cook"")']"
15,"['ArcelorMittal', 'Lakshmi_Mittal']",1,"[""keyPerson('ArcelorMittal', 'Lakshmi_Mittal') 1.0"", ""keyPerson('Lakshmi_Mittal', 'ArcelorMittal') 1.0"", ""keyPerson('Lakshmi_Mittal__1', 'ArcelorMittal') 1.0""]","[""not_keyPerson('ArcelorMittal', 'Lakshmi_Mittal') 1.0""]","['keyPerson(""ArcelorMittal"",""Lakshmi_Mittal"")', 'keyPerson(""Lakshmi_Mittal__1"",""ArcelorMittal"")', 'keyPerson(""Lakshmi_Mittal"",""ArcelorMittal"")', 'not_keyPerson(""ArcelorMittal"",""Lakshmi_Mittal"")']"
17,"['BAE_Systems', 'Ian_King_(BAE_Systems)']",1,"[""keyPerson('Roger_Carr_(businessman)__1', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Guglielmo_Marconi') 1.0"", ""keyPerson('British_Aerospace', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Portsmouth', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('The_General_Electric_Company', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Roger_Carr_(businessman)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Incumbent') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Arnold_Weinstock') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'British_Aerospace') 1.0"", ""keyPerson('BAE_Systems_Inc.', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Michael_Turner_(businessman)') 1.0"", ""keyPerson('BAE_Systems_Australia', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'British_Aircraft_Corporation') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Hawker_Siddeley_Aviation') 1.0"", ""keyPerson('BAE_Systems', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Marconi_Electronic_Systems', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('London', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Scottish_Aviation') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'BAE_Systems') 1.0"", ""keyPerson('BAE_Systems_plc', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Hawker_Siddeley_Dynamics') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'President_(corporate_title)') 1.0""]","[""not_keyPerson('BAE_Systems_Detica', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('BAE_Systems_Land_&_Armaments', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('BAE_Systems_Inc.', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('BAE_Systems_Electronics,_Intelligence_&_Support', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Marconi_Electronic_Systems', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Rover_Group', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('BAE_Systems', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('BAE_Systems_Australia', 'Ian_King_(BAE_Systems)') 1.0""]","['keyPerson(""BAE_Systems"",""Ian_King_(BAE_Systems)"")', 'keyPerson(""BAE_Systems_Australia"",""Ian_King_(BAE_Systems)"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""Ian_King_(BAE_Systems)"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""Roger_Carr_(businessman)"")', 'keyPerson(""Roger_Carr_(businessman)__1"",""Ian_King_(BAE_Systems)"")', 'keyPerson(""BAE_Systems_Inc."",""Ian_King_(BAE_Systems)"")', 'keyPerson(""British_Aerospace"",""Ian_King_(BAE_Systems)"")', 'keyPerson(""Marconi_Electronic_Systems"",""Ian_King_(BAE_Systems)"")', 'keyPerson(""London"",""Ian_King_(BAE_Systems)"")', 'keyPerson(""Portsmouth"",""Ian_King_(BAE_Systems)"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""British_Aircraft_Corporation"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""Scottish_Aviation"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""Hawker_Siddeley_Dynamics"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""Hawker_Siddeley_Aviation"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""Michael_Turner_(businessman)"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""British_Aerospace"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""Incumbent"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""BAE_Systems"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""President_(corporate_title)"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""Guglielmo_Marconi"")', 'keyPerson(""Ian_King_(BAE_Systems)__1"",""Arnold_Weinstock"")', 'keyPerson(""BAE_Systems_plc"",""Ian_King_(BAE_Systems)"")', 'keyPerson(""The_General_Electric_Company"",""Ian_King_(BAE_Systems)"")', 'not_keyPerson(""BAE_Systems_Inc."",""Ian_King_(BAE_Systems)"")', 'not_keyPerson(""BAE_Systems_Australia"",""Ian_King_(BAE_Systems)"")', 'not_keyPerson(""BAE_Systems_Detica"",""Ian_King_(BAE_Systems)"")', 'not_keyPerson(""BAE_Systems_Land_&_Armaments"",""Ian_King_(BAE_Systems)"")', 'not_keyPerson(""BAE_Systems_Electronics,_Intelligence_&_Support"",""Ian_King_(BAE_Systems)"")', 'not_keyPerson(""Rover_Group"",""Ian_King_(BAE_Systems)"")', 'not_keyPerson(""BAE_Systems"",""Ian_King_(BAE_Systems)"")', 'not_keyPerson(""Marconi_Electronic_Systems"",""Ian_King_(BAE_Systems)"")']"
19,"['Bank_of_America', 'Brian_Moynihan']",1,"[""keyPerson('Brian_Moynihan__1', 'Bank_of_America_Merrill_Lynch') 1.0"", ""keyPerson('Bank_of_America_Merrill_Lynch', 'Brian_Moynihan') 1.0"", ""keyPerson('Bank_of_America', 'Brian_Moynihan') 1.0"", ""keyPerson('Bank_of_America_Home_Loans', 'Brian_Moynihan') 1.0"", ""keyPerson('Brian_Moynihan__1', 'Bank_of_America') 1.0""]","[""not_keyPerson('Bank_of_America', 'Brian_Moynihan') 1.0""]","['keyPerson(""Bank_of_America"",""Brian_Moynihan"")', 'keyPerson(""Bank_of_America_Merrill_Lynch"",""Brian_Moynihan"")', 'keyPerson(""Bank_of_America_Home_Loans"",""Brian_Moynihan"")', 'keyPerson(""Brian_Moynihan__1"",""Bank_of_America"")', 'keyPerson(""Brian_Moynihan__1"",""Bank_of_America_Merrill_Lynch"")', 'not_keyPerson(""Bank_of_America"",""Brian_Moynihan"")']"
20,"['Barclays', 'Antony_Jenkins']",1,"[""keyPerson('Barclays', 'Antony_Jenkins') 1.0"", ""keyPerson('Barclays_Africa_Group', 'Antony_Jenkins') 1.0"", ""keyPerson('Barclays_Investment_Bank', 'Antony_Jenkins') 1.0""]","[""not_keyPerson('Barclays', 'Antony_Jenkins') 1.0"", ""not_keyPerson('Barclays_Investment_Bank', 'Antony_Jenkins') 1.0"", ""not_keyPerson('Barclays_Africa_Group', 'Antony_Jenkins') 1.0""]","['keyPerson(""Barclays"",""Antony_Jenkins"")', 'keyPerson(""Barclays_Africa_Group"",""Antony_Jenkins"")', 'keyPerson(""Barclays_Investment_Bank"",""Antony_Jenkins"")', 'not_keyPerson(""Barclays"",""Antony_Jenkins"")', 'not_keyPerson(""Barclays_Africa_Group"",""Antony_Jenkins"")', 'not_keyPerson(""Barclays_Investment_Bank"",""Antony_Jenkins"")']"
22,"['Best_Buy', 'Hubert_Joly']",1,"[""keyPerson('Best_Buy_Europe', 'Hubert_Joly') 1.0"", ""keyPerson('Best_Buy', 'Hubert_Joly') 1.0""]","[""not_keyPerson('Best_Buy', 'Hubert_Joly') 1.0""]","['keyPerson(""Best_Buy"",""Hubert_Joly"")', 'keyPerson(""Best_Buy_Europe"",""Hubert_Joly"")', 'not_keyPerson(""Best_Buy"",""Hubert_Joly"")']"
23,"['Bharti_Enterprises', 'Sunil_Mittal']",1,"[""keyPerson('Bharti_Enterprises', 'Sunil_Mittal') 1.0""]","[""not_keyPerson('Bharti_Enterprises', 'Sunil_Mittal') 1.0""]","['keyPerson(""Bharti_Enterprises"",""Sunil_Mittal"")', 'not_keyPerson(""Bharti_Enterprises"",""Sunil_Mittal"")']"
27,"['Boston_Consulting_Group', 'Rich_Lesser']",1,"[""keyPerson('Boston_Consulting_Group', 'Rich_Lesser') 1.0""]","[""not_keyPerson('Boston_Consulting_Group', 'Rich_Lesser') 1.0""]","['keyPerson(""Boston_Consulting_Group"",""Rich_Lesser"")', 'not_keyPerson(""Boston_Consulting_Group"",""Rich_Lesser"")']"
28,"['BP', 'Bob_Dudley']",1,"[""keyPerson('BP', 'Bob_Dudley') 1.0""]","[""not_keyPerson('BP', 'Bob_Dudley') 1.0""]","['keyPerson(""BP"",""Bob_Dudley"")', 'not_keyPerson(""BP"",""Bob_Dudley"")']"
29,"['Campbell_Soup_Company', 'Denise_Morrison']",1,"[""keyPerson('Campbell_Soup_Company', 'Denise_Morrison') 1.0""]","[""not_keyPerson('Campbell_Soup_Company', 'Denise_Morrison') 1.0""]","['keyPerson(""Campbell_Soup_Company"",""Denise_Morrison"")', 'not_keyPerson(""Campbell_Soup_Company"",""Denise_Morrison"")']"
31,"['Capital_One', 'Richard_Fairbank']",1,[],"[""not_keyPerson('Capital_One', 'Richard_Fairbank') 1.0""]","['not_keyPerson(""Capital_One"",""Richard_Fairbank"")']"
32,"['Caterpillar_Inc.', 'Douglas_R._Oberhelman']",1,"[""keyPerson('Caterpillar_Inc.', 'Douglas_R._Oberhelman') 1.0"", ""keyPerson('Douglas_R._Oberhelman__1', 'Caterpillar_Inc.') 1.0""]","[""not_keyPerson('Caterpillar_Inc.', 'Douglas_R._Oberhelman') 1.0""]","['keyPerson(""Caterpillar_Inc."",""Douglas_R._Oberhelman"")', 'keyPerson(""Douglas_R._Oberhelman__1"",""Caterpillar_Inc."")', 'not_keyPerson(""Caterpillar_Inc."",""Douglas_R._Oberhelman"")']"
34,"['CBS_Corporation', 'Leslie_Moonves']",1,"[""keyPerson('CBS_Corporation', 'Leslie_Moonves') 1.0"", ""keyPerson('Leslie_Moonves__1', 'CBS_Corporation') 1.0""]","[""not_keyPerson('CBS_Corporation', 'Leslie_Moonves') 1.0""]","['keyPerson(""CBS_Corporation"",""Leslie_Moonves"")', 'keyPerson(""Leslie_Moonves__1"",""CBS_Corporation"")', 'not_keyPerson(""CBS_Corporation"",""Leslie_Moonves"")']"
35,"['Cisco_Systems', 'John_T._Chambers']",1,"[""keyPerson('Cisco_Systems', 'John_T._Chambers') 1.0""]","[""not_keyPerson('Cisco_Systems', 'John_T._Chambers') 1.0"", ""not_keyPerson('List_of_acquisitions_by_Cisco_Systems', 'John_T._Chambers') 1.0""]","['keyPerson(""Cisco_Systems"",""John_T._Chambers"")', 'not_keyPerson(""List_of_acquisitions_by_Cisco_Systems"",""John_T._Chambers"")', 'not_keyPerson(""Cisco_Systems"",""John_T._Chambers"")']"
36,"['Citigroup', 'Michael_Corbat']",1,"[""keyPerson('Citigroup', 'Michael_Corbat') 1.0""]","[""not_keyPerson('Citigroup', 'Michael_Corbat') 1.0"", ""not_keyPerson('Nikko_Citigroup', 'Michael_Corbat') 1.0""]","['keyPerson(""Citigroup"",""Michael_Corbat"")', 'not_keyPerson(""Nikko_Citigroup"",""Michael_Corbat"")', 'not_keyPerson(""Citigroup"",""Michael_Corbat"")']"
39,"['Comcast', 'Brian_L._Roberts']",1,"[""keyPerson('Comcast_Interactive_Media', 'Brian_L._Roberts') 1.0"", ""keyPerson('Co-Founder of Comcast Corporation', 'Brian_L._Roberts') 1.0"", ""keyPerson('Comcast', 'Brian_L._Roberts') 1.0"", ""keyPerson('Founder of Comcast', 'Brian_L._Roberts') 1.0"", ""keyPerson('Comcast_Spectacor', 'Brian_L._Roberts') 1.0"", ""keyPerson('Comcast_Cable', 'Brian_L._Roberts') 1.0""]","[""not_keyPerson('Comcast_Interactive_Media', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast_Spotlight', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast_Spectacor', 'Brian_L._Roberts') 1.0"", ""not_keyPerson('Comcast_Business', 'Brian_L._Roberts') 1.0""]","['keyPerson(""Comcast_Cable"",""Brian_L._Roberts"")', 'keyPerson(""Comcast_Spectacor"",""Brian_L._Roberts"")', 'keyPerson(""Comcast_Interactive_Media"",""Brian_L._Roberts"")', 'keyPerson(""Comcast"",""Brian_L._Roberts"")', 'not_keyPerson(""Comcast_Interactive_Media"",""Brian_L._Roberts"")', 'not_keyPerson(""Comcast"",""Brian_L._Roberts"")', 'not_keyPerson(""Comcast_Spectacor"",""Brian_L._Roberts"")', 'not_keyPerson(""Comcast_Spotlight"",""Brian_L._Roberts"")', 'not_keyPerson(""Comcast_Business"",""Brian_L._Roberts"")']"
41,"['Crown_Worldwide_Group', 'James_E._Thompson']",1,"[""keyPerson('Crown_Worldwide_Group', 'James_E._Thompson') 1.0""]","[""not_keyPerson('Crown_Worldwide_Group', 'James_E._Thompson') 1.0""]","['keyPerson(""Crown_Worldwide_Group"",""James_E._Thompson"")', 'not_keyPerson(""Crown_Worldwide_Group"",""James_E._Thompson"")']"
42,"['Daimler_AG', 'Dieter_Zetsche']",1,"[""keyPerson('Dieter_Zetsche__1', 'Daimler_AG') 1.0"", ""keyPerson('Daimler_AG', 'Dieter_Zetsche') 1.0""]","[""not_keyPerson('Daimler_AG', 'Dieter_Zetsche') 1.0""]","['keyPerson(""Daimler_AG"",""Dieter_Zetsche"")', 'keyPerson(""Dieter_Zetsche__1"",""Daimler_AG"")', 'not_keyPerson(""Daimler_AG"",""Dieter_Zetsche"")']"
45,"['Deutsche_Bank', 'Anshu_Jain']",1,"[""keyPerson('Deutsche_Bank', 'Anshu_Jain') 1.0"", ""keyPerson('Deutsche_Bank_Twin_Towers', 'Anshu_Jain') 1.0""]","[""not_keyPerson('Deutsche_Bank', 'Anshu_Jain') 1.0""]","['keyPerson(""Deutsche_Bank"",""Anshu_Jain"")', 'keyPerson(""Deutsche_Bank_Twin_Towers"",""Anshu_Jain"")', 'not_keyPerson(""Deutsche_Bank"",""Anshu_Jain"")']"
47,"['DineEquity', 'Julia_Stewart_(businesswoman)']",1,"[""keyPerson('DineEquity', 'Julia_Stewart_(businesswoman)') 1.0""]","[""not_keyPerson('DineEquity', 'Julia_Stewart_(businesswoman)') 1.0""]","['keyPerson(""DineEquity"",""Julia_Stewart_(businesswoman)"")', 'not_keyPerson(""DineEquity"",""Julia_Stewart_(businesswoman)"")']"
48,"['DLF_(company)', 'Kushal_Pal_Singh']",1,"[""keyPerson('DLF_(company)', 'Kushal_Pal_Singh') 1.0""]","[""not_keyPerson('DLF_(company)', 'Kushal_Pal_Singh') 1.0""]","['keyPerson(""DLF_(company)"",""Kushal_Pal_Singh"")', 'not_keyPerson(""DLF_(company)"",""Kushal_Pal_Singh"")']"
51,"['EBay', 'John_Donahoe']",1,"[""keyPerson('EBay', 'John_Donahoe') 1.0""]","[""not_keyPerson('EBay', 'John_Donahoe') 1.0""]","['keyPerson(""EBay"",""John_Donahoe"")', 'not_keyPerson(""EBay"",""John_Donahoe"")']"
53,"['Ericsson', 'Hans_Vestberg']",1,"[""keyPerson('Ericsson_Broadcast_and_Media_Services', 'Hans_Vestberg') 1.0"", ""keyPerson('Ericsson-LG', 'Hans_Vestberg') 1.0"", ""keyPerson('Lars_Magnus_Ericsson__1', 'Hans_Vestberg') 1.0"", ""keyPerson('Ericsson', 'Hans_Vestberg') 1.0"", ""keyPerson('Hans_Vestberg__1', 'Lars_Magnus_Ericsson') 1.0""]","[""not_keyPerson('Ericsson', 'Hans_Vestberg') 1.0"", ""not_keyPerson('Ericsson_Broadcast_and_Media_Services', 'Hans_Vestberg') 1.0"", ""not_keyPerson('Ericsson-LG', 'Hans_Vestberg') 1.0""]","['keyPerson(""Ericsson"",""Hans_Vestberg"")', 'keyPerson(""Ericsson-LG"",""Hans_Vestberg"")', 'keyPerson(""Lars_Magnus_Ericsson__1"",""Hans_Vestberg"")', 'keyPerson(""Hans_Vestberg__1"",""Lars_Magnus_Ericsson"")', 'keyPerson(""Ericsson_Broadcast_and_Media_Services"",""Hans_Vestberg"")', 'not_keyPerson(""Ericsson"",""Hans_Vestberg"")', 'not_keyPerson(""Ericsson-LG"",""Hans_Vestberg"")', 'not_keyPerson(""Ericsson_Broadcast_and_Media_Services"",""Hans_Vestberg"")']"
54,"['ExxonMobil', 'Rex_Tillerson']",1,"[""keyPerson('ExxonMobil', 'Rex_Tillerson') 1.0"", ""keyPerson('Rex_Tillerson__1', 'ExxonMobil') 1.0""]","[""not_keyPerson('ExxonMobil', 'Rex_Tillerson') 1.0""]","['keyPerson(""ExxonMobil"",""Rex_Tillerson"")', 'keyPerson(""Rex_Tillerson__1"",""ExxonMobil"")', 'not_keyPerson(""ExxonMobil"",""Rex_Tillerson"")']"
55,"['Facebook', 'Mark_Zuckerberg']",1,"[""keyPerson('Facebook', 'Mark_Zuckerberg') 1.0""]","[""not_keyPerson('Facebook_Messenger', 'Mark_Zuckerberg') 1.0"", ""not_keyPerson('Facebook', 'Mark_Zuckerberg') 1.0""]","['keyPerson(""Facebook"",""Mark_Zuckerberg"")', 'not_keyPerson(""Facebook"",""Mark_Zuckerberg"")', 'not_keyPerson(""Facebook_Messenger"",""Mark_Zuckerberg"")']"
56,"['FedEx', 'Frederick_W._Smith']",1,"[""keyPerson('FedEx_Office', 'Frederick_W._Smith') 1.0"", ""keyPerson('FedEx_Express', 'Frederick_W._Smith') 1.0"", ""keyPerson('FedEx', 'Frederick_W._Smith') 1.0"", ""keyPerson('FedEx_Ground', 'Frederick_W._Smith') 1.0""]","[""not_keyPerson('FedEx_Office', 'Frederick_W._Smith') 1.0"", ""not_keyPerson('FedEx_Express', 'Frederick_W._Smith') 1.0"", ""not_keyPerson('FedEx', 'Frederick_W._Smith') 1.0""]","['keyPerson(""FedEx_Office"",""Frederick_W._Smith"")', 'keyPerson(""FedEx"",""Frederick_W._Smith"")', 'keyPerson(""FedEx_Ground"",""Frederick_W._Smith"")', 'keyPerson(""FedEx_Express"",""Frederick_W._Smith"")', 'not_keyPerson(""FedEx"",""Frederick_W._Smith"")', 'not_keyPerson(""FedEx_Office"",""Frederick_W._Smith"")', 'not_keyPerson(""FedEx_Express"",""Frederick_W._Smith"")']"
57,"['Fidelity_Investments', 'Abigail_Johnson']",1,"[""keyPerson('Fidelity_Investments', 'Abigail_Johnson') 1.0""]","[""not_keyPerson('Fidelity_Investments', 'Abigail_Johnson') 1.0""]","['keyPerson(""Fidelity_Investments"",""Abigail_Johnson"")', 'not_keyPerson(""Fidelity_Investments"",""Abigail_Johnson"")']"
59,"['Foxconn', 'Terry_Gou']",1,"[""keyPerson('Foxconn', 'Terry_Gou') 1.0""]","[""not_keyPerson('Foxconn', 'Terry_Gou') 1.0""]","['keyPerson(""Foxconn"",""Terry_Gou"")', 'not_keyPerson(""Foxconn"",""Terry_Gou"")']"
64,"['GlaxoSmithKline', 'Andrew_Witty']",1,"[""keyPerson('GlaxoSmithKline', 'Andrew_Witty') 1.0"", ""keyPerson('Andrew_Witty__1', 'GlaxoSmithKline') 1.0"", ""keyPerson('GlaxoSmithKline', 'Sir_Andrew_Witty') 1.0""]","[""not_keyPerson('GlaxoSmithKline', 'Andrew_Witty') 1.0""]","['keyPerson(""GlaxoSmithKline"",""Andrew_Witty"")', 'keyPerson(""GlaxoSmithKline"",""Sir_Andrew_Witty"")', 'keyPerson(""Andrew_Witty__1"",""GlaxoSmithKline"")', 'not_keyPerson(""GlaxoSmithKline"",""Andrew_Witty"")']"
112,"['Global_Telecom_Holding', 'Naguib_Sawiris']",1,"[""keyPerson('Global_Telecom_Holding', 'Naguib_Sawiris') 1.0""]","[""not_keyPerson('Global_Telecom_Holding', 'Naguib_Sawiris') 1.0""]","['keyPerson(""Global_Telecom_Holding"",""Naguib_Sawiris"")', 'not_keyPerson(""Global_Telecom_Holding"",""Naguib_Sawiris"")']"
67,"['GMA_Network', 'Felipe_Gozon']",1,"[""keyPerson('GMA_Network_(company)', 'Felipe_Gozon') 1.0"", ""keyPerson('GMA_Network', 'Felipe_Gozon') 1.0"", ""keyPerson('Felipe_Gozon__1', 'GMA_Network_(company)') 1.0"", ""keyPerson('Felipe_Gozon__1', 'GMA_Network_Inc.') 1.0""]","[""not_keyPerson('GMA_Network_(company)', 'Felipe_Gozon') 1.0""]","['keyPerson(""GMA_Network_(company)"",""Felipe_Gozon"")', 'keyPerson(""GMA_Network"",""Felipe_Gozon"")', 'keyPerson(""Felipe_Gozon__1"",""GMA_Network_(company)"")', 'keyPerson(""Felipe_Gozon__1"",""GMA_Network_Inc."")', 'not_keyPerson(""GMA_Network_(company)"",""Felipe_Gozon"")']"
68,"['GMR_Group', 'Grandhi_Mallikarjuna_Rao']",1,"[""keyPerson('GMR_Group', 'Grandhi_Mallikarjuna_Rao') 1.0""]","[""not_keyPerson('GMR_Group', 'Grandhi_Mallikarjuna_Rao') 1.0""]","['keyPerson(""GMR_Group"",""Grandhi_Mallikarjuna_Rao"")', 'not_keyPerson(""GMR_Group"",""Grandhi_Mallikarjuna_Rao"")']"
66,"['Google', 'Larry_Page']",1,"[""keyPerson('Google_Inc.', 'Larry_Page') 1.0"", ""keyPerson('Google_X', 'Larry_Page') 1.0"", ""keyPerson('Google', 'Larry_Page') 1.0""]","[""not_keyPerson('Google_Capital', 'Larry_Page') 1.0"", ""not_keyPerson('Google', 'Larry_Page') 1.0"", ""not_keyPerson('Google_Fiber', 'Larry_Page') 1.0""]","['keyPerson(""Google"",""Larry_Page"")', 'keyPerson(""Google_Inc."",""Larry_Page"")', 'keyPerson(""Google_X"",""Larry_Page"")', 'not_keyPerson(""Google_Fiber"",""Larry_Page"")', 'not_keyPerson(""Google"",""Larry_Page"")', 'not_keyPerson(""Google_Capital"",""Larry_Page"")']"
192,"['Graham_Holdings_Company', 'Donald_E._Graham']",1,"[""keyPerson('Graham_Holdings_Company', 'Donald_E._Graham') 1.0""]","[""not_keyPerson('Graham_Holdings_Company', 'Donald_E._Graham') 1.0""]","['keyPerson(""Graham_Holdings_Company"",""Donald_E._Graham"")', 'not_keyPerson(""Graham_Holdings_Company"",""Donald_E._Graham"")']"
